filename,path,station_name,pollutant_std,EmptyValuePercentage
Toluene__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/Toluene__2023_03.csv,London Marylebone Road,Toluene,21.77
Ethyne__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/Ethyne__2023_03.csv,London Marylebone Road,Ethyne,21.77
O3__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/O3__2023_03.csv,London Marylebone Road,O3,20.81
trans-2-Pentene__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/trans-2-Pentene__2023_03.csv,London Marylebone Road,trans-2-Pentene,21.77
1-Butene__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/1-Butene__2023_03.csv,London Marylebone Road,1-Butene,21.77
Toluene__2023_05.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/Toluene__2023_05.csv,London Marylebone Road,Toluene,26.71
O3__2023_04.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/O3__2023_04.csv,London Marylebone Road,O3,86.57
"1,2,4-TMB__2023_03.csv","/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/1,2,4-TMB__2023_03.csv",London Marylebone Road,"1,2,4-TMB",21.77
SO2__2023_09.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/SO2__2023_09.csv,London Marylebone Road,SO2,31.15
PM2.5__2023_04.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/PM2.5__2023_04.csv,London Marylebone Road,PM2.5,100.0
i-Pentane__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/i-Pentane__2023_03.csv,London Marylebone Road,i-Pentane,21.77
NO2__2023_03.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/NO2__2023_03.csv,London Marylebone Road,NO2,20.94
CO__2023_09.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Marylebone_Road/CO__2023_09.csv,London Marylebone Road,CO,21.51
