timestamp,value,timeseries_id,station_name,pollutant_name,pollutant_std
2023-02-01 00:00:00,0.225,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 01:00:00,0.186,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 02:00:00,0.155,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 03:00:00,0.153,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 04:00:00,0.14,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 05:00:00,0.128,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 06:00:00,0.136,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 07:00:00,0.143,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 08:00:00,0.193,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 09:00:00,0.307,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 10:00:00,0.293,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 11:00:00,0.251,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 12:00:00,0.28,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 13:00:00,0.202,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 14:00:00,0.257,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 15:00:00,0.209,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 16:00:00,0.232,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 17:00:00,0.21,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 18:00:00,0.196,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 19:00:00,0.214,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 20:00:00,0.249,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 21:00:00,0.236,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 22:00:00,0.352,604,London Eltham,i-Hexane,i-Hexane
2023-02-01 23:00:00,-99.0,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 00:00:00,-99.0,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 01:00:00,-99.0,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 02:00:00,-99.0,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 03:00:00,-99.0,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 04:00:00,-99.0,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 05:00:00,0.159,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 06:00:00,0.127,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 07:00:00,0.136,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 08:00:00,0.171,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 09:00:00,0.317,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 10:00:00,0.399,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 11:00:00,0.365,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 12:00:00,0.35,604,London Eltham,i-Hexane,i-Hexane
2023-02-02 13:00:00,0.333,604,London Eltham,i-Hexane,i-Hexane
