timestamp,value,timeseries_id,station_name,pollutant_name,pollutant_std
2025-01-01 00:00:00,0.275,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 01:00:00,0.286,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 02:00:00,0.717,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 03:00:00,0.769,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 04:00:00,0.41,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 05:00:00,0.272,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 06:00:00,0.187,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 07:00:00,0.168,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 08:00:00,0.106,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 09:00:00,0.022,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 10:00:00,0.022,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 11:00:00,0.102,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 12:00:00,0.268,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 13:00:00,0.114,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 14:00:00,0.131,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 15:00:00,0.303,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 16:00:00,0.461,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 17:00:00,0.456,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 18:00:00,0.38,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 19:00:00,0.529,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 20:00:00,0.37,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 21:00:00,0.559,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 22:00:00,0.583,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-01 23:00:00,0.422,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 00:00:00,0.458,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 01:00:00,0.63,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 02:00:00,0.273,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 03:00:00,0.291,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 04:00:00,0.218,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 05:00:00,0.022,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 06:00:00,0.133,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 07:00:00,0.197,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 08:00:00,0.162,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 09:00:00,0.136,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 10:00:00,0.022,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 11:00:00,0.146,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 12:00:00,0.303,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 13:00:00,0.292,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 14:00:00,0.167,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 15:00:00,0.148,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 16:00:00,0.314,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 17:00:00,0.336,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 18:00:00,0.682,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 19:00:00,0.92,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 20:00:00,0.508,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 21:00:00,0.535,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 22:00:00,0.58,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-02 23:00:00,1.091,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 00:00:00,0.746,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 01:00:00,0.788,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 02:00:00,0.583,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 03:00:00,0.667,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 04:00:00,0.332,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 05:00:00,0.487,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 06:00:00,0.395,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 07:00:00,0.676,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 08:00:00,0.741,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 09:00:00,0.46,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 10:00:00,0.709,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 11:00:00,0.529,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 12:00:00,0.455,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 13:00:00,0.664,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 14:00:00,0.317,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 15:00:00,0.457,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 16:00:00,0.624,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 17:00:00,0.945,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 18:00:00,1.045,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 19:00:00,1.292,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 20:00:00,1.196,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 21:00:00,1.303,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 22:00:00,-99.0,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-03 23:00:00,-99.0,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 00:00:00,-99.0,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 01:00:00,-99.0,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 02:00:00,-99.0,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 03:00:00,0.482,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 04:00:00,0.576,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 05:00:00,0.556,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 06:00:00,0.661,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 07:00:00,0.442,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 08:00:00,0.445,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 09:00:00,0.612,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 10:00:00,0.771,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 11:00:00,1.035,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 12:00:00,1.207,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 13:00:00,1.084,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 14:00:00,0.763,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 15:00:00,0.577,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 16:00:00,0.419,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 17:00:00,0.45,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 18:00:00,0.372,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 19:00:00,0.502,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 20:00:00,0.326,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 21:00:00,0.349,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 22:00:00,0.244,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-04 23:00:00,0.479,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 00:00:00,0.9,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 01:00:00,0.295,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 02:00:00,0.468,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 03:00:00,0.219,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 04:00:00,0.286,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 05:00:00,0.167,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 06:00:00,0.236,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 07:00:00,0.353,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 08:00:00,0.222,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 09:00:00,0.437,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 10:00:00,0.932,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 11:00:00,0.241,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 12:00:00,0.21,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 13:00:00,0.404,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 14:00:00,0.458,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 15:00:00,0.374,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 16:00:00,0.377,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 17:00:00,0.345,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 18:00:00,0.216,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 19:00:00,0.468,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 20:00:00,0.296,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 21:00:00,0.286,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 22:00:00,-99.0,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-05 23:00:00,0.066,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-06 00:00:00,0.202,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-06 01:00:00,0.104,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
2025-01-06 02:00:00,0.117,2702,London Marylebone Road,Ethyl benzene,Ethylbenzene
