timestamp,value,timeseries_id,station_name,pollutant_name
2023-01-01 01:00:00,8.396,255,London Westminster,Nitrogen dioxide
2023-01-01 02:00:00,7.254,255,London Westminster,Nitrogen dioxide
2023-01-01 03:00:00,5.865,255,London Westminster,Nitrogen dioxide
2023-01-01 04:00:00,4.864,255,London Westminster,Nitrogen dioxide
2023-01-01 05:00:00,4.195,255,London Westminster,Nitrogen dioxide
2023-01-01 06:00:00,5.581,255,London Westminster,Nitrogen dioxide
2023-01-01 07:00:00,6.968,255,London Westminster,Nitrogen dioxide
2023-01-01 08:00:00,5.725,255,London Westminster,Nitrogen dioxide
2023-01-01 09:00:00,7.158,255,London Westminster,Nitrogen dioxide
2023-01-01 10:00:00,8.876,255,London Westminster,Nitrogen dioxide
2023-01-01 11:00:00,7.108,255,London Westminster,Nitrogen dioxide
2023-01-01 12:00:00,6.771,255,London Westminster,Nitrogen dioxide
2023-01-01 13:00:00,6.532,255,London Westminster,Nitrogen dioxide
2023-01-01 14:00:00,6.532,255,London Westminster,Nitrogen dioxide
2023-01-01 15:00:00,7.966,255,London Westminster,Nitrogen dioxide
2023-01-01 16:00:00,9.638,255,London Westminster,Nitrogen dioxide
2023-01-01 17:00:00,9.687,255,London Westminster,Nitrogen dioxide
2023-01-01 18:00:00,11.265,255,London Westminster,Nitrogen dioxide
2023-01-01 19:00:00,15.657,255,London Westminster,Nitrogen dioxide
2023-01-01 20:00:00,30.737,255,London Westminster,Nitrogen dioxide
2023-01-01 21:00:00,43.449,255,London Westminster,Nitrogen dioxide
2023-01-01 22:00:00,34.73,255,London Westminster,Nitrogen dioxide
2023-01-01 23:00:00,26.519,255,London Westminster,Nitrogen dioxide
2023-01-02 00:00:00,27.67,255,London Westminster,Nitrogen dioxide
2023-01-02 01:00:00,24.079,255,London Westminster,Nitrogen dioxide
2023-01-02 02:00:00,13.757,255,London Westminster,Nitrogen dioxide
2023-01-02 03:00:00,9.932,255,London Westminster,Nitrogen dioxide
2023-01-02 04:00:00,7.015,255,London Westminster,Nitrogen dioxide
2023-01-02 05:00:00,5.343,255,London Westminster,Nitrogen dioxide
2023-01-02 06:00:00,8.114,255,London Westminster,Nitrogen dioxide
2023-01-02 07:00:00,12.702,255,London Westminster,Nitrogen dioxide
2023-01-02 08:00:00,14.325,255,London Westminster,Nitrogen dioxide
2023-01-02 09:00:00,12.846,255,London Westminster,Nitrogen dioxide
2023-01-02 10:00:00,18.144,255,London Westminster,Nitrogen dioxide
2023-01-02 11:00:00,25.106,255,London Westminster,Nitrogen dioxide
2023-01-02 12:00:00,29.76,255,London Westminster,Nitrogen dioxide
