timestamp,value,timeseries_id,station_name,pollutant_name
2024-12-12 14:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-12 15:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-12 16:00:00,1.266,2712,London Marylebone Road,i-Octane
2024-12-12 17:00:00,0.38,2712,London Marylebone Road,i-Octane
2024-12-12 18:00:00,0.362,2712,London Marylebone Road,i-Octane
2024-12-12 19:00:00,0.332,2712,London Marylebone Road,i-Octane
2024-12-12 20:00:00,0.25,2712,London Marylebone Road,i-Octane
2024-12-12 21:00:00,0.35,2712,London Marylebone Road,i-Octane
2024-12-12 22:00:00,0.238,2712,London Marylebone Road,i-Octane
2024-12-12 23:00:00,0.27,2712,London Marylebone Road,i-Octane
2024-12-13 00:00:00,0.48,2712,London Marylebone Road,i-Octane
2024-12-13 01:00:00,0.291,2712,London Marylebone Road,i-Octane
2024-12-13 02:00:00,0.391,2712,London Marylebone Road,i-Octane
2024-12-13 03:00:00,0.41,2712,London Marylebone Road,i-Octane
2024-12-13 04:00:00,0.248,2712,London Marylebone Road,i-Octane
2024-12-13 05:00:00,0.303,2712,London Marylebone Road,i-Octane
2024-12-13 06:00:00,0.294,2712,London Marylebone Road,i-Octane
2024-12-13 07:00:00,0.604,2712,London Marylebone Road,i-Octane
2024-12-13 08:00:00,0.737,2712,London Marylebone Road,i-Octane
2024-12-13 09:00:00,0.423,2712,London Marylebone Road,i-Octane
2024-12-13 10:00:00,1.084,2712,London Marylebone Road,i-Octane
2024-12-13 11:00:00,0.505,2712,London Marylebone Road,i-Octane
2024-12-13 12:00:00,0.595,2712,London Marylebone Road,i-Octane
2024-12-13 13:00:00,0.703,2712,London Marylebone Road,i-Octane
2024-12-13 14:00:00,0.573,2712,London Marylebone Road,i-Octane
2024-12-13 15:00:00,0.62,2712,London Marylebone Road,i-Octane
2024-12-13 16:00:00,0.857,2712,London Marylebone Road,i-Octane
2024-12-13 17:00:00,1.007,2712,London Marylebone Road,i-Octane
2024-12-13 18:00:00,0.754,2712,London Marylebone Road,i-Octane
2024-12-13 19:00:00,1.029,2712,London Marylebone Road,i-Octane
2024-12-13 20:00:00,0.554,2712,London Marylebone Road,i-Octane
2024-12-13 21:00:00,0.674,2712,London Marylebone Road,i-Octane
2024-12-13 22:00:00,0.676,2712,London Marylebone Road,i-Octane
2024-12-13 23:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 00:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 01:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 02:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 03:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 04:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 05:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 06:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 07:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 08:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 09:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 10:00:00,-99.0,2712,London Marylebone Road,i-Octane
2024-12-14 11:00:00,0.273,2712,London Marylebone Road,i-Octane
2024-12-14 12:00:00,0.324,2712,London Marylebone Road,i-Octane
2024-12-14 13:00:00,0.116,2712,London Marylebone Road,i-Octane
2024-12-14 14:00:00,0.217,2712,London Marylebone Road,i-Octane
2024-12-14 15:00:00,0.196,2712,London Marylebone Road,i-Octane
2024-12-14 16:00:00,0.024,2712,London Marylebone Road,i-Octane
2024-12-14 17:00:00,0.499,2712,London Marylebone Road,i-Octane
2024-12-14 18:00:00,0.43,2712,London Marylebone Road,i-Octane
2024-12-14 19:00:00,0.765,2712,London Marylebone Road,i-Octane
2024-12-14 20:00:00,0.667,2712,London Marylebone Road,i-Octane
2024-12-14 21:00:00,0.805,2712,London Marylebone Road,i-Octane
2024-12-14 22:00:00,1.113,2712,London Marylebone Road,i-Octane
2024-12-14 23:00:00,0.787,2712,London Marylebone Road,i-Octane
2024-12-15 00:00:00,0.764,2712,London Marylebone Road,i-Octane
2024-12-15 01:00:00,0.909,2712,London Marylebone Road,i-Octane
2024-12-15 02:00:00,0.644,2712,London Marylebone Road,i-Octane
2024-12-15 03:00:00,0.496,2712,London Marylebone Road,i-Octane
2024-12-15 04:00:00,0.324,2712,London Marylebone Road,i-Octane
2024-12-15 05:00:00,0.579,2712,London Marylebone Road,i-Octane
2024-12-15 06:00:00,0.399,2712,London Marylebone Road,i-Octane
2024-12-15 07:00:00,0.495,2712,London Marylebone Road,i-Octane
2024-12-15 08:00:00,0.427,2712,London Marylebone Road,i-Octane
2024-12-15 09:00:00,0.393,2712,London Marylebone Road,i-Octane
2024-12-15 10:00:00,0.458,2712,London Marylebone Road,i-Octane
2024-12-15 11:00:00,0.482,2712,London Marylebone Road,i-Octane
2024-12-15 12:00:00,0.665,2712,London Marylebone Road,i-Octane
2024-12-15 13:00:00,0.545,2712,London Marylebone Road,i-Octane
2024-12-15 14:00:00,0.632,2712,London Marylebone Road,i-Octane
2024-12-15 15:00:00,0.721,2712,London Marylebone Road,i-Octane
2024-12-15 16:00:00,0.633,2712,London Marylebone Road,i-Octane
2024-12-15 17:00:00,1.071,2712,London Marylebone Road,i-Octane
2024-12-15 18:00:00,0.424,2712,London Marylebone Road,i-Octane
2024-12-15 19:00:00,1.048,2712,London Marylebone Road,i-Octane
2024-12-15 20:00:00,0.653,2712,London Marylebone Road,i-Octane
2024-12-15 21:00:00,0.502,2712,London Marylebone Road,i-Octane
2024-12-15 22:00:00,0.397,2712,London Marylebone Road,i-Octane
2024-12-15 23:00:00,0.47,2712,London Marylebone Road,i-Octane
2024-12-16 00:00:00,0.311,2712,London Marylebone Road,i-Octane
2024-12-16 01:00:00,0.28,2712,London Marylebone Road,i-Octane
2024-12-16 02:00:00,0.194,2712,London Marylebone Road,i-Octane
2024-12-16 03:00:00,0.386,2712,London Marylebone Road,i-Octane
2024-12-16 04:00:00,0.054,2712,London Marylebone Road,i-Octane
2024-12-16 05:00:00,0.222,2712,London Marylebone Road,i-Octane
2024-12-16 06:00:00,0.261,2712,London Marylebone Road,i-Octane
2024-12-16 07:00:00,0.269,2712,London Marylebone Road,i-Octane
2024-12-16 08:00:00,0.353,2712,London Marylebone Road,i-Octane
2024-12-16 09:00:00,1.286,2712,London Marylebone Road,i-Octane
2024-12-16 10:00:00,0.375,2712,London Marylebone Road,i-Octane
2024-12-16 11:00:00,0.361,2712,London Marylebone Road,i-Octane
2024-12-16 12:00:00,0.609,2712,London Marylebone Road,i-Octane
2024-12-16 13:00:00,0.181,2712,London Marylebone Road,i-Octane
2024-12-16 14:00:00,0.461,2712,London Marylebone Road,i-Octane
2024-12-16 15:00:00,0.024,2712,London Marylebone Road,i-Octane
2024-12-16 16:00:00,0.553,2712,London Marylebone Road,i-Octane
2024-12-16 17:00:00,0.469,2712,London Marylebone Road,i-Octane
2024-12-16 18:00:00,0.701,2712,London Marylebone Road,i-Octane
2024-12-16 19:00:00,0.562,2712,London Marylebone Road,i-Octane
2024-12-16 20:00:00,0.508,2712,London Marylebone Road,i-Octane
2024-12-16 21:00:00,0.349,2712,London Marylebone Road,i-Octane
2024-12-16 22:00:00,0.353,2712,London Marylebone Road,i-Octane
2024-12-16 23:00:00,0.493,2712,London Marylebone Road,i-Octane
2024-12-17 00:00:00,0.708,2712,London Marylebone Road,i-Octane
2024-12-17 01:00:00,0.292,2712,London Marylebone Road,i-Octane
2024-12-17 02:00:00,0.024,2712,London Marylebone Road,i-Octane
2024-12-17 03:00:00,0.321,2712,London Marylebone Road,i-Octane
2024-12-17 04:00:00,0.213,2712,London Marylebone Road,i-Octane
2024-12-17 05:00:00,0.196,2712,London Marylebone Road,i-Octane
2024-12-17 06:00:00,0.193,2712,London Marylebone Road,i-Octane
2024-12-17 07:00:00,0.438,2712,London Marylebone Road,i-Octane
2024-12-17 08:00:00,0.507,2712,London Marylebone Road,i-Octane
2024-12-17 09:00:00,0.527,2712,London Marylebone Road,i-Octane
2024-12-17 10:00:00,0.457,2712,London Marylebone Road,i-Octane
2024-12-17 11:00:00,0.436,2712,London Marylebone Road,i-Octane
2024-12-17 12:00:00,0.482,2712,London Marylebone Road,i-Octane
2024-12-17 13:00:00,0.269,2712,London Marylebone Road,i-Octane
2024-12-17 14:00:00,0.299,2712,London Marylebone Road,i-Octane
2024-12-17 15:00:00,0.417,2712,London Marylebone Road,i-Octane
2024-12-17 16:00:00,0.418,2712,London Marylebone Road,i-Octane
2024-12-17 17:00:00,0.588,2712,London Marylebone Road,i-Octane
2024-12-17 18:00:00,0.277,2712,London Marylebone Road,i-Octane
2024-12-17 19:00:00,0.365,2712,London Marylebone Road,i-Octane
2024-12-17 20:00:00,0.282,2712,London Marylebone Road,i-Octane
2024-12-17 21:00:00,0.348,2712,London Marylebone Road,i-Octane
2024-12-17 22:00:00,0.319,2712,London Marylebone Road,i-Octane
2024-12-17 23:00:00,0.252,2712,London Marylebone Road,i-Octane
2024-12-18 00:00:00,0.436,2712,London Marylebone Road,i-Octane
2024-12-18 01:00:00,0.226,2712,London Marylebone Road,i-Octane
2024-12-18 02:00:00,0.429,2712,London Marylebone Road,i-Octane
2024-12-18 03:00:00,0.204,2712,London Marylebone Road,i-Octane
2024-12-18 04:00:00,0.092,2712,London Marylebone Road,i-Octane
2024-12-18 05:00:00,0.033,2712,London Marylebone Road,i-Octane
2024-12-18 06:00:00,0.189,2712,London Marylebone Road,i-Octane
2024-12-18 07:00:00,0.024,2712,London Marylebone Road,i-Octane
2024-12-18 08:00:00,0.248,2712,London Marylebone Road,i-Octane
2024-12-18 09:00:00,0.312,2712,London Marylebone Road,i-Octane
2024-12-18 10:00:00,0.358,2712,London Marylebone Road,i-Octane
2024-12-18 11:00:00,0.228,2712,London Marylebone Road,i-Octane
2024-12-18 12:00:00,0.201,2712,London Marylebone Road,i-Octane
2024-12-18 13:00:00,0.228,2712,London Marylebone Road,i-Octane
2024-12-18 14:00:00,0.297,2712,London Marylebone Road,i-Octane
2024-12-18 15:00:00,0.311,2712,London Marylebone Road,i-Octane
2024-12-18 16:00:00,0.257,2712,London Marylebone Road,i-Octane
2024-12-18 17:00:00,0.328,2712,London Marylebone Road,i-Octane
2024-12-18 18:00:00,0.434,2712,London Marylebone Road,i-Octane
2024-12-18 19:00:00,0.284,2712,London Marylebone Road,i-Octane
2024-12-18 20:00:00,0.298,2712,London Marylebone Road,i-Octane
2024-12-18 21:00:00,0.337,2712,London Marylebone Road,i-Octane
2024-12-18 22:00:00,0.221,2712,London Marylebone Road,i-Octane
2024-12-18 23:00:00,0.802,2712,London Marylebone Road,i-Octane
2024-12-19 00:00:00,0.533,2712,London Marylebone Road,i-Octane
2024-12-19 01:00:00,0.166,2712,London Marylebone Road,i-Octane
2024-12-19 02:00:00,0.147,2712,London Marylebone Road,i-Octane
2024-12-19 03:00:00,0.098,2712,London Marylebone Road,i-Octane
2024-12-19 04:00:00,0.068,2712,London Marylebone Road,i-Octane
2024-12-19 05:00:00,0.024,2712,London Marylebone Road,i-Octane
2024-12-19 06:00:00,0.081,2712,London Marylebone Road,i-Octane
2024-12-19 07:00:00,0.056,2712,London Marylebone Road,i-Octane
2024-12-19 08:00:00,0.095,2712,London Marylebone Road,i-Octane
2024-12-19 09:00:00,0.254,2712,London Marylebone Road,i-Octane
2024-12-19 10:00:00,0.525,2712,London Marylebone Road,i-Octane
2024-12-19 11:00:00,0.16,2712,London Marylebone Road,i-Octane
2024-12-19 12:00:00,0.169,2712,London Marylebone Road,i-Octane
2024-12-19 13:00:00,0.248,2712,London Marylebone Road,i-Octane
2024-12-19 14:00:00,0.125,2712,London Marylebone Road,i-Octane
2024-12-19 15:00:00,0.167,2712,London Marylebone Road,i-Octane
2024-12-19 16:00:00,0.147,2712,London Marylebone Road,i-Octane
2024-12-19 17:00:00,0.209,2712,London Marylebone Road,i-Octane
2024-12-19 18:00:00,0.215,2712,London Marylebone Road,i-Octane
2024-12-19 19:00:00,0.206,2712,London Marylebone Road,i-Octane
2024-12-19 20:00:00,0.506,2712,London Marylebone Road,i-Octane
2024-12-19 21:00:00,0.459,2712,London Marylebone Road,i-Octane
2024-12-19 22:00:00,0.363,2712,London Marylebone Road,i-Octane
2024-12-19 23:00:00,0.313,2712,London Marylebone Road,i-Octane
2024-12-20 00:00:00,0.146,2712,London Marylebone Road,i-Octane
2024-12-20 01:00:00,0.275,2712,London Marylebone Road,i-Octane
