timestamp,value,timeseries_id,station_name,pollutant_name
2025-01-01 00:00:00,25.819,357,London Marylebone Road,Nitrogen oxides
2025-01-01 01:00:00,31.747,357,London Marylebone Road,Nitrogen oxides
2025-01-01 02:00:00,59.096,357,London Marylebone Road,Nitrogen oxides
2025-01-01 03:00:00,49.151,357,London Marylebone Road,Nitrogen oxides
2025-01-01 04:00:00,43.796,357,London Marylebone Road,Nitrogen oxides
2025-01-01 05:00:00,27.349,357,London Marylebone Road,Nitrogen oxides
2025-01-01 06:00:00,17.977,357,London Marylebone Road,Nitrogen oxides
2025-01-01 07:00:00,15.874,357,London Marylebone Road,Nitrogen oxides
2025-01-01 08:00:00,13.961,357,London Marylebone Road,Nitrogen oxides
2025-01-01 09:00:00,13.579,357,London Marylebone Road,Nitrogen oxides
2025-01-01 10:00:00,19.89,357,London Marylebone Road,Nitrogen oxides
2025-01-01 11:00:00,18.36,357,London Marylebone Road,Nitrogen oxides
2025-01-01 12:00:00,26.584,357,London Marylebone Road,Nitrogen oxides
2025-01-01 13:00:00,26.775,357,London Marylebone Road,Nitrogen oxides
2025-01-01 14:00:00,27.157,357,London Marylebone Road,Nitrogen oxides
2025-01-01 15:00:00,-99.0,357,London Marylebone Road,Nitrogen oxides
2025-01-01 16:00:00,110.351,357,London Marylebone Road,Nitrogen oxides
2025-01-01 17:00:00,89.888,357,London Marylebone Road,Nitrogen oxides
2025-01-01 18:00:00,72.675,357,London Marylebone Road,Nitrogen oxides
2025-01-01 19:00:00,72.293,357,London Marylebone Road,Nitrogen oxides
2025-01-01 20:00:00,57.184,357,London Marylebone Road,Nitrogen oxides
2025-01-01 21:00:00,69.424,357,London Marylebone Road,Nitrogen oxides
2025-01-01 22:00:00,67.511,357,London Marylebone Road,Nitrogen oxides
2025-01-01 23:00:00,65.599,357,London Marylebone Road,Nitrogen oxides
2025-01-02 00:00:00,57.949,357,London Marylebone Road,Nitrogen oxides
2025-01-02 01:00:00,52.02,357,London Marylebone Road,Nitrogen oxides
2025-01-02 02:00:00,32.704,357,London Marylebone Road,Nitrogen oxides
2025-01-02 03:00:00,21.038,357,London Marylebone Road,Nitrogen oxides
2025-01-02 04:00:00,10.901,357,London Marylebone Road,Nitrogen oxides
2025-01-02 05:00:00,10.328,357,London Marylebone Road,Nitrogen oxides
2025-01-02 06:00:00,20.273,357,London Marylebone Road,Nitrogen oxides
2025-01-02 07:00:00,28.496,357,London Marylebone Road,Nitrogen oxides
2025-01-02 08:00:00,30.791,357,London Marylebone Road,Nitrogen oxides
2025-01-02 09:00:00,30.026,357,London Marylebone Road,Nitrogen oxides
2025-01-02 10:00:00,39.206,357,London Marylebone Road,Nitrogen oxides
2025-01-02 11:00:00,49.725,357,London Marylebone Road,Nitrogen oxides
2025-01-02 12:00:00,40.354,357,London Marylebone Road,Nitrogen oxides
2025-01-02 13:00:00,26.775,357,London Marylebone Road,Nitrogen oxides
2025-01-02 14:00:00,24.48,357,London Marylebone Road,Nitrogen oxides
2025-01-02 15:00:00,27.54,357,London Marylebone Road,Nitrogen oxides
2025-01-02 16:00:00,30.791,357,London Marylebone Road,Nitrogen oxides
2025-01-02 17:00:00,52.976,357,London Marylebone Road,Nitrogen oxides
2025-01-02 18:00:00,79.942,357,London Marylebone Road,Nitrogen oxides
2025-01-02 19:00:00,97.155,357,London Marylebone Road,Nitrogen oxides
2025-01-02 20:00:00,91.418,357,London Marylebone Road,Nitrogen oxides
2025-01-02 21:00:00,78.604,357,London Marylebone Road,Nitrogen oxides
2025-01-02 22:00:00,90.844,357,London Marylebone Road,Nitrogen oxides
2025-01-02 23:00:00,126.608,357,London Marylebone Road,Nitrogen oxides
2025-01-03 00:00:00,98.302,357,London Marylebone Road,Nitrogen oxides
2025-01-03 01:00:00,99.45,357,London Marylebone Road,Nitrogen oxides
2025-01-03 02:00:00,72.101,357,London Marylebone Road,Nitrogen oxides
2025-01-03 03:00:00,64.069,357,London Marylebone Road,Nitrogen oxides
