metric,value
total_files,3563
total_records,2525991
total_missing,222798
overall_completeness_pct,91.18
unique_stations,18
total_combinations,144
unique_pollutants,37
unique_locations,20
expected_pairs,141
collected_pairs,141
missing_pairs_count,0
extra_pairs_count,0
total_nan_replacements,222167
mean_invalid_pct,9.61
max_invalid_pct,100.00
files_2023,1431
records_2023,1000126
missing_2023,90245
replacements_2023,90161
files_2024,1193
records_2024,868320
missing_2024,101522
replacements_2024,101256
files_2025,939
records_2025,657545
missing_2025,31031
replacements_2025,30750
