year,pollutant_name,mean,median,std,count
2023,"1,2,3-Trimethylbenzene",0.03,0.02,0.03,11091
2023,"1,2,4-Trimethylbenzene",0.51,0.24,7.94,11079
2023,"1,3,5-Trimethylbenzene",0.13,0.06,0.52,11049
2023,1-Butene,0.26,0.23,0.2,11060
2023,1-Pentene,0.18,0.04,1.44,10990
2023,1.3 Butadiene,0.08,0.05,0.1,11020
2023,Benzene,0.53,0.38,1.05,11092
2023,Carbon monoxide,0.21,0.18,0.18,16321
2023,Ethane,6.16,4.51,6.76,11055
2023,Ethene,1.24,0.92,1.91,11078
2023,Ethyl benzene,0.35,0.2,0.71,11081
2023,Ethyne,0.54,0.39,0.61,11073
2023,Isoprene,0.13,0.06,0.24,11073
2023,Nitrogen dioxide,21.95,17.02,17.51,112565
2023,Nitrogen monoxide,9.26,2.37,20.0,112568
2023,Nitrogen oxides,36.2,21.61,44.57,112203
2023,Ozone,45.61,46.9,24.19,58109
2023,Particulate matter less than 10 micro m,13.82,10.9,10.9,71696
2023,Particulate matter less than 2.5 micro m,8.16,6.13,7.31,82373
2023,Propane,4.1,2.62,8.92,11073
2023,Propene,0.67,0.57,0.56,11075
2023,Sulphur dioxide,2.01,1.6,1.85,23829
2023,Toluene,1.33,0.8,2.26,11016
2023,cis-2-Butene,0.1,0.07,0.11,11049
2023,i-Butane,2.18,1.38,3.27,11058
2023,i-Hexane,0.6,0.27,1.97,11047
2023,i-Octane,0.25,0.16,0.34,11058
2023,i-Pentane,1.37,0.92,1.56,11077
2023,"m,p-Xylene",1.02,0.59,1.67,10733
2023,n-Butane,3.54,2.24,5.4,11058
2023,n-Heptane,0.28,0.17,0.51,11049
2023,n-Hexane,0.41,0.19,3.25,11037
2023,n-Octane,0.11,0.07,0.15,10982
2023,n-Pentane,0.65,0.47,0.7,11077
2023,o-Xylene,0.42,0.24,0.69,11091
2023,trans-2-Butene,0.17,0.09,0.2,11058
2023,trans-2-Pentene,0.06,0.04,0.07,11022
2024,"1,2,3-Trimethylbenzene",0.02,0.02,0.0,7487
2024,"1,2,4-Trimethylbenzene",1.42,0.37,7.78,7475
2024,"1,3,5-Trimethylbenzene",0.14,0.06,0.69,7477
2024,1-Butene,0.35,0.28,0.34,7687
2024,1-Pentene,0.07,0.05,0.09,7686
2024,1.3 Butadiene,0.15,0.11,0.2,7687
2024,Benzene,0.51,0.42,0.48,7496
2024,Carbon monoxide,0.2,0.16,0.18,16513
2024,Ethane,7.21,6.07,4.82,7686
2024,Ethene,1.49,1.27,1.0,7687
2024,Ethyl benzene,0.61,0.32,1.51,7481
2024,Ethyne,0.61,0.53,0.41,7680
2024,Isoprene,0.16,0.1,0.19,7685
2024,Nitrogen dioxide,20.35,16.45,15.0,109638
2024,Nitrogen monoxide,7.29,2.37,13.06,109616
2024,Nitrogen oxides,31.48,21.04,32.26,109700
2024,Ozone,44.86,45.5,22.88,57906
2024,Particulate matter less than 10 micro m,11.8,9.7,10.17,59946
2024,Particulate matter less than 2.5 micro m,7.0,5.28,5.8,60786
2024,Propane,4.62,3.85,3.93,7687
2024,Propene,0.81,0.74,0.44,7687
2024,Sulphur dioxide,2.08,1.6,2.34,23107
2024,Toluene,1.67,1.16,3.07,7494
2024,cis-2-Butene,0.12,0.09,0.12,7681
2024,i-Butane,2.54,1.97,2.29,7686
2024,i-Hexane,0.55,0.4,0.73,7687
2024,i-Octane,0.33,0.27,0.43,7475
2024,i-Pentane,1.72,1.32,1.84,7687
2024,"m,p-Xylene",2.1,1.19,4.58,6683
2024,n-Butane,4.05,3.01,15.87,7686
2024,n-Heptane,0.37,0.26,0.56,7474
2024,n-Hexane,0.33,0.25,0.41,7687
2024,n-Octane,0.12,0.09,0.14,7475
2024,n-Pentane,0.78,0.6,0.85,7687
2024,o-Xylene,0.96,0.46,3.07,7489
2024,trans-2-Butene,0.17,0.13,0.16,7687
2024,trans-2-Pentene,0.08,0.06,0.12,7686
2025,"1,2,3-Trimethylbenzene",0.02,0.02,0.0,6511
2025,"1,2,4-Trimethylbenzene",0.9,0.69,1.69,6485
2025,"1,3,5-Trimethylbenzene",0.14,0.06,0.24,6482
2025,1-Butene,0.35,0.33,0.12,6545
2025,1-Pentene,0.08,0.07,0.08,6515
2025,1.3 Butadiene,0.26,0.26,0.09,6541
2025,Benzene,0.46,0.35,0.44,6475
2025,Carbon monoxide,0.24,0.2,0.18,12666
2025,Ethane,7.51,5.57,6.77,6543
2025,Ethene,1.66,1.48,1.0,6541
2025,Ethyl benzene,1.2,0.5,9.99,6495
2025,Ethyne,0.69,0.6,0.46,6448
2025,Isoprene,0.22,0.14,0.28,6519
2025,Nitrogen dioxide,19.75,15.11,15.85,78440
2025,Nitrogen monoxide,7.0,1.87,15.49,78433
2025,Nitrogen oxides,30.56,18.93,35.73,78520
2025,Ozone,49.85,49.09,24.92,51134
2025,Particulate matter less than 10 micro m,13.94,11.2,10.17,57920
2025,Particulate matter less than 2.5 micro m,8.1,5.66,7.69,61966
2025,Propane,4.84,3.71,4.15,6542
2025,Propene,1.04,0.88,0.65,6544
2025,Sulphur dioxide,1.68,1.33,1.27,18811
2025,Toluene,1.7,1.28,3.79,6499
2025,cis-2-Butene,0.14,0.14,0.09,6491
2025,i-Butane,2.73,2.13,2.44,6547
2025,i-Hexane,0.55,0.47,0.46,6544
2025,i-Octane,0.36,0.32,0.49,6492
2025,i-Pentane,1.82,1.52,1.53,6548
2025,"m,p-Xylene",4.54,1.63,37.75,6475
2025,n-Butane,4.38,3.36,4.18,6548
2025,n-Heptane,0.33,0.27,0.4,6504
2025,n-Hexane,0.34,0.29,0.39,6536
2025,n-Octane,0.12,0.1,0.15,6428
2025,n-Pentane,0.79,0.66,0.61,6548
2025,o-Xylene,1.54,0.62,11.65,6501
2025,trans-2-Butene,0.22,0.21,0.09,6533
2025,trans-2-Pentene,0.1,0.08,0.12,6525
