pollutant,total_records,total_missing,percentage_missing
NO,326061,25944,7.956793360751516
NO2,326072,25486,7.8160651635221665
NOx,325387,24979,7.676704969774454
PM10,227142,37580,16.544716520942846
PM2.5,234748,29626,12.620341813348782
O3,194333,27240,14.01717670184683
SO2,72928,7181,9.846698113207546
"1,2,3-TMB",26649,1560,5.853878194303727
"1,2,4-TMB",26649,1610,6.041502495403204
"1,3,5-TMB",26649,1641,6.157829562084881
"1,3-Butadiene",26568,1320,4.9683830171635055
1-Butene,26599,1307,4.913718560848152
1-Pentene,26572,1381,5.197200060213759
Benzene,26649,1586,5.951442830875455
Ethane,26599,1315,4.943794879506749
Ethene,26618,1312,4.92899541663536
Ethylbenzene,26649,1592,5.973957747007392
Ethyne,26529,1328,5.005842662746429
Isoprene,26618,1341,5.037944248253061
Propane,26618,1316,4.944022841686077
Propene,26618,1312,4.92899541663536
Toluene,26649,1640,6.154077076062892
cis-2-Butene,26599,1378,5.180645888943193
i-Butane,26599,1308,4.917478100680476
i-Hexane,26599,1321,4.966352118500696
i-Octane,26649,1624,6.094037299711059
i-Pentane,26618,1306,4.906454279059283
"m,p-Xylene",25503,1612,6.320825000980276
n-Butane,26599,1307,4.913718560848152
n-Heptane,26649,1622,6.086532327667079
n-Hexane,26580,1320,4.966139954853273
n-Octane,26649,1764,6.619385342789598
n-Pentane,26618,1306,4.906454279059283
o-Xylene,26649,1568,5.883898082479642
trans-2-Butene,26599,1321,4.966352118500696
trans-2-Pentene,26599,1366,5.135531410955299
CO,48578,3078,6.336201572728395
