path,file_name,neg_value,neg_count,pollutant_std
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Westminster,PM2.5__2023_01.csv,-1.6,3,PM2.5
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Westminster,PM2.5__2023_01.csv,-0.6,3,PM2.5
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Westminster,PM2.5__2023_01.csv,-0.6,3,PM2.5
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Westminster,NO__2023_03.csv,-0.042,2,NO
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Westminster,NO__2023_03.csv,-0.094,2,NO
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_01.csv,-0.065,1,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_03.csv,-0.442,6,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_03.csv,-0.087,6,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_03.csv,-0.211,6,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_03.csv,-0.239,6,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_03.csv,-0.938,6,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_03.csv,-0.171,6,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_12.csv,-0.157,4,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_12.csv,-0.317,4,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_12.csv,-0.264,4,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO2__2023_12.csv,-0.371,4,NO2
/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/defra/optimised/2023measurements/London_Harlington,NO__2023_10.csv,-0.205,35,NO
