filename,path,siteCode,SpeciesCode,year,month,EmptyValuePercentage
BT4_O3_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/BT4_O3_2023-04-01_2023-04-30.csv,BT4,O3,2023,2023_apr,52.87
BT5_PM2.5_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/BT5_PM2.5_2023-04-01_2023-04-30.csv,BT5,PM2.5,2023,2023_apr,100.0
BT6_PM2.5_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/BT6_PM2.5_2023-04-01_2023-04-30.csv,BT6,PM2.5,2023,2023_apr,100.0
BT8_PM2.5_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/BT8_PM2.5_2023-04-01_2023-04-30.csv,BT8,PM2.5,2023,2023_apr,100.0
CD1_NO2_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/CD1_NO2_2023-04-01_2023-04-30.csv,CD1,NO2,2023,2023_apr,100.0
CD1_PM10_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/CD1_PM10_2023-04-01_2023-04-30.csv,CD1,PM10,2023,2023_apr,100.0
CD1_PM2.5_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/CD1_PM2.5_2023-04-01_2023-04-30.csv,CD1,PM2.5,2023,2023_apr,100.0
EN5_PM2.5_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/EN5_PM2.5_2023-04-01_2023-04-30.csv,EN5,PM2.5,2023,2023_apr,100.0
GN0_PM2.5_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/GN0_PM2.5_2023-04-01_2023-04-30.csv,GN0,PM2.5,2023,2023_apr,100.0
GN5_NO2_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/GN5_NO2_2023-04-01_2023-04-30.csv,GN5,NO2,2023,2023_apr,100.0
GR4_PM10_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/GR4_PM10_2023-04-01_2023-04-30.csv,GR4,PM10,2023,2023_apr,100.0
GR8_NO2_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/GR8_NO2_2023-04-01_2023-04-30.csv,GR8,NO2,2023,2023_apr,100.0
GR8_PM10_2023-04-01_2023-04-30.csv,/Users/burdzhuchaglayan/Desktop/data science projects/air-pollution-levels/data/laqn/optimased/2023_apr/GR8_PM10_2023-04-01_2023-04-30.csv,GR8,PM10,2023,2023_apr,91.67
