siteCode,SpeciesCode,month_number
EN5,PM2.5,12
GT1,NO2,12
GT1,PM10,12
GT1,PM2.5,12
HG1,PM2.5,12
IS2,PM2.5,12
IS6,PM2.5,12
KF1,PM25,12
ME2,NO2,12
ME2,PM10,12
ME2,PM2.5,12
MEA,NO2,12
MEA,PM2.5,12
MEB,PM10,12
MEB,PM2.5,12
MR8,PM25,12
RHI,NO2,12
RHI,PM10,12
RHI,PM2.5,12
RI2,PM2.5,12
TH2,PM2.5,12
TH5,NO2,12
TH5,PM10,12
TH5,PM2.5,12
TH6,NO2,12
TH6,O3,12
TH6,PM10,12
TH7,NO2,12
TH7,PM2.5,12
WA7,PM2.5,12
WA9,NO2,12
WA9,PM2.5,12
WAA,PM2.5,12
WAB,PM2.5,12
WAC,NO2,12
WAC,PM2.5,12
WM5,PM2.5,12
WM6,PM2.5,12
WME,NO2,12
WME,O3,12
WME,PM2.5,12
