siteCode,SpeciesCode,2023,2024,2025
BL0,CO,12.0,12.0,11.0
BT4,SO2,12.0,12.0,11.0
BT6,SO2,12.0,12.0,11.0
BX1,CO,12.0,12.0,11.0
BX1,PM10,12.0,12.0,11.0
BY7,CO,12.0,12.0,11.0
CR9,NO2,12.0,12.0,11.0
CR9,PM10,12.0,12.0,11.0
EN4,PM10,12.0,12.0,11.0
EN4,SO2,12.0,12.0,11.0
GB0,PM10,12.0,12.0,11.0
GR4,SO2,12.0,12.0,11.0
GR9,O3,12.0,12.0,11.0
HG1,PM10,12.0,12.0,11.0
HG1,SO2,12.0,12.0,11.0
HI0,CO,12.0,12.0,11.0
HI0,SO2,12.0,12.0,11.0
HK6,O3,12.0,12.0,11.0
HV3,SO2,12.0,12.0,11.0
IS2,CO,12.0,12.0,11.0
KC1,PM10,12.0,12.0,11.0
KF1,PM10,12.0,12.0,11.0
KF1,PM2.5,12.0,12.0,11.0
LB4,SO2,12.0,12.0,11.0
LH0,CO,12.0,12.0,11.0
MEB,NO2,12.0,12.0,11.0
MR8,NO2,12.0,12.0,11.0
MR8,PM10,12.0,12.0,11.0
MR8,PM2.5,12.0,12.0,11.0
MY1,PM10,12.0,12.0,11.0
TH2,CO,12.0,12.0,11.0
TH5,O3,12.0,12.0,11.0
TH5,SO2,12.0,12.0,11.0
WA9,CO,12.0,12.0,11.0
WM0,CO,12.0,12.0,11.0
WM0,O3,12.0,12.0,11.0
WM0,PM10,12.0,12.0,11.0
WM0,SO2,12.0,12.0,11.0
