@MeasurementDateGMT,@Value,SpeciesCode,SiteCode,SpeciesName,SiteName,SiteType,Latitude,Longitude
2025-11-01 00:00:00,56.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 01:00:00,58.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 02:00:00,65.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 03:00:00,67.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 04:00:00,66.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 05:00:00,68.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 06:00:00,62.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 07:00:00,57.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 08:00:00,56.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 09:00:00,62.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 10:00:00,67.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 11:00:00,65.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 12:00:00,68.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 13:00:00,70.0,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 14:00:00,70.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 15:00:00,68.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 16:00:00,67.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 17:00:00,58.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 18:00:00,55.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 19:00:00,51.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 20:00:00,49.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 21:00:00,45.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 22:00:00,41.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-01 23:00:00,40.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-02 00:00:00,42.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-02 01:00:00,39.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-02 02:00:00,39.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
