SiteCode,SiteName,SiteType,SpeciesCode,SpeciesName,Latitude,Longitude
BG1,Barking and Dagenham - Rush Green,Suburban,NO2,Nitrogen Dioxide,51.563752,0.177891
BG1,Barking and Dagenham - Rush Green,Suburban,SO2,Sulphur Dioxide,51.563752,0.177891
BG2,Barking and Dagenham - Scrattons Farm,Suburban,NO2,Nitrogen Dioxide,51.529389,0.132857
BG2,Barking and Dagenham - Scrattons Farm,Suburban,PM10,PM10 Particulate,51.529389,0.132857
BX2,Bexley - Belvedere,Suburban,NO2,Nitrogen Dioxide,51.4906102082147,0.158914493927518
BX2,Bexley - Belvedere,Suburban,PM10,PM10 Particulate,51.4906102082147,0.158914493927518
BX2,Bexley - Belvedere,Suburban,PM25,PM2.5 Particulate,51.4906102082147,0.158914493927518
BQ7,Bexley - Belvedere West,Urban Background,NO2,Nitrogen Dioxide,51.4946486813055,0.137279111232178
BQ7,Bexley - Belvedere West,Urban Background,O3,Ozone,51.4946486813055,0.137279111232178
BQ7,Bexley - Belvedere West,Urban Background,PM10,PM10 Particulate,51.4946486813055,0.137279111232178
BQ7,Bexley - Belvedere West,Urban Background,PM25,PM2.5 Particulate,51.4946486813055,0.137279111232178
BX1,Bexley - Slade Green,Suburban,NO2,Nitrogen Dioxide,51.4659832746662,0.184877126994369
BX1,Bexley - Slade Green,Suburban,O3,Ozone,51.4659832746662,0.184877126994369
BX1,Bexley - Slade Green,Suburban,SO2,Sulphur Dioxide,51.4659832746662,0.184877126994369
BQ9,Bexley - Slade Green Fidas,Suburban,PM10,PM10 Particulate,51.4659832746662,0.184877126994369
BQ9,Bexley - Slade Green Fidas,Suburban,PM25,PM2.5 Particulate,51.4659832746662,0.184877126994369
BT8,Brent - ARK Franklin Primary Academy,Roadside,NO2,Nitrogen Dioxide,51.5324054617809,-0.217718908639377
BT8,Brent - ARK Franklin Primary Academy,Roadside,PM10,PM10 Particulate,51.5324054617809,-0.217718908639377
BT8,Brent - ARK Franklin Primary Academy,Roadside,PM25,PM2.5 Particulate,51.5324054617809,-0.217718908639377
BT4,Brent - Ikea,Roadside,NO2,Nitrogen Dioxide,51.552476,-0.258089
BT4,Brent - Ikea,Roadside,PM10,PM10 Particulate,51.552476,-0.258089
BT4,Brent - Ikea,Roadside,PM25,PM2.5 Particulate,51.552476,-0.258089
BT6,Brent - John Keble Primary School,Roadside,NO2,Nitrogen Dioxide,51.537799,-0.247793
BT6,Brent - John Keble Primary School,Roadside,PM10,PM10 Particulate,51.537799,-0.247793
BT6,Brent - John Keble Primary School,Roadside,PM25,PM2.5 Particulate,51.537799,-0.247793
BT5,Brent - Neasden Lane,Industrial,NO2,Nitrogen Dioxide,51.552656,-0.248774
BT5,Brent - Neasden Lane,Industrial,PM10,PM10 Particulate,51.552656,-0.248774
BT5,Brent - Neasden Lane,Industrial,PM25,PM2.5 Particulate,51.552656,-0.248774
BY7,Bromley - Harwood Avenue,Roadside,NO2,Nitrogen Dioxide,51.405546,0.018882
BY7,Bromley - Harwood Avenue,Roadside,PM10,PM10 Particulate,51.405546,0.018882
BY7,Bromley - Harwood Avenue,Roadside,PM25,PM2.5 Particulate,51.405546,0.018882
BL0,Camden - Bloomsbury,Urban Background,PM25,PM2.5 Particulate,51.522287,-0.125848
CD1,Camden - Swiss Cottage,Kerbside,NO2,Nitrogen Dioxide,51.544219,-0.175284
CD1,Camden - Swiss Cottage,Kerbside,PM10,PM10 Particulate,51.544219,-0.175284
CD1,Camden - Swiss Cottage,Kerbside,PM25,PM2.5 Particulate,51.544219,-0.175284
CR5,Croydon - Norbury,Kerbside,NO2,Nitrogen Dioxide,51.411349,-0.12311
CR8,Croydon - Norbury Manor,Urban Background,PM25,PM2.5 Particulate,51.410039,-0.127523
CR7,Croydon - Purley Way A23,Roadside,NO2,Nitrogen Dioxide,51.3622305655403,-0.117604507351392
EA6,Ealing - Hanger Lane Gyratory,Roadside,NO2,Nitrogen Dioxide,51.53085,-0.292488
EA6,Ealing - Hanger Lane Gyratory,Roadside,PM10,PM10 Particulate,51.53085,-0.292488
EA8,Ealing - Horn Lane,Industrial,NO2,Nitrogen Dioxide,51.518948,-0.265617
EA8,Ealing - Horn Lane,Industrial,PM10,PM10 Particulate,51.518948,-0.265617
EI8,Ealing - Horn Lane TEOM,Industrial,PM10,PM10 Particulate,51.5189160348806,-0.265652052386222
EI1,Ealing - Western Avenue,Roadside,NO2,Nitrogen Dioxide,51.5236078191481,-0.265502631799754
EI1,Ealing - Western Avenue,Roadside,PM10,PM10 Particulate,51.5236078191481,-0.265502631799754
EN5,Enfield - Bowes Primary School,Roadside,NO2,Nitrogen Dioxide,51.613865,-0.125338
EN5,Enfield - Bowes Primary School,Roadside,PM25,PM2.5 Particulate,51.613865,-0.125338
EN1,Enfield - Bush Hill Park,Suburban,NO2,Nitrogen Dioxide,51.6450367266602,-0.0661800662229116
EN4,Enfield - Derby Road,Roadside,NO2,Nitrogen Dioxide,51.614864007,-0.0507658363689
EN7,Enfield - Prince of Wales School,Urban Background,NO2,Nitrogen Dioxide,51.66864334727,-0.02200720557
GN0,Greenwich - A206 Burrage Grove,Roadside,NO2,Nitrogen Dioxide,51.490532,0.074003
GN0,Greenwich - A206 Burrage Grove,Roadside,PM10,PM10 Particulate,51.490532,0.074003
GN0,Greenwich - A206 Burrage Grove,Roadside,PM25,PM2.5 Particulate,51.490532,0.074003
GR7,Greenwich - Blackheath,Roadside,NO2,Nitrogen Dioxide,51.472504,-0.012381
GR7,Greenwich - Blackheath,Roadside,PM10,PM10 Particulate,51.472504,-0.012381
GR4,Greenwich - Eltham,Suburban,PM25,PM2.5 Particulate,51.45258,0.070766
GB6,Greenwich - Falconwood,Roadside,NO2,Nitrogen Dioxide,51.4563,0.085606
GB6,Greenwich - Falconwood,Roadside,O3,Ozone,51.4563,0.085606
GB6,Greenwich - Falconwood,Roadside,PM10,PM10 Particulate,51.4563,0.085606
GB0,Greenwich - Falconwood FDMS,Roadside,PM25,PM2.5 Particulate,51.4563,0.085606
GN4,Greenwich - Fiveways Sidcup Rd A20,Roadside,NO2,Nitrogen Dioxide,51.4346627060562,0.0642224671704697
GN4,Greenwich - Fiveways Sidcup Rd A20,Roadside,PM10,PM10 Particulate,51.4346627060562,0.0642224671704697
GN6,Greenwich - John Harrison Way,Roadside,NO2,Nitrogen Dioxide,51.4937746695818,0.0107796237032558
GN6,Greenwich - John Harrison Way,Roadside,PM10,PM10 Particulate,51.4937746695818,0.0107796237032558
GN6,Greenwich - John Harrison Way,Roadside,PM25,PM2.5 Particulate,51.4937746695818,0.0107796237032558
GN3,Greenwich - Plumstead High Street,Roadside,NO2,Nitrogen Dioxide,51.486957,0.095111
GN3,Greenwich - Plumstead High Street,Roadside,O3,Ozone,51.486957,0.095111
GN3,Greenwich - Plumstead High Street,Roadside,PM10,PM10 Particulate,51.486957,0.095111
GN3,Greenwich - Plumstead High Street,Roadside,PM25,PM2.5 Particulate,51.486957,0.095111
GN5,Greenwich - Trafalgar Road (Hoskins St),Roadside,NO2,Nitrogen Dioxide,51.4839072533485,0.0004073969358497
GN5,Greenwich - Trafalgar Road (Hoskins St),Roadside,PM10,PM10 Particulate,51.4839072533485,0.0004073969358497
TL4,Greenwich - Tunnel Avenue,Roadside,NO2,Nitrogen Dioxide,51.495057,0.0041074676
GR9,Greenwich - Westhorne Avenue,Roadside,NO2,Nitrogen Dioxide,51.456357,0.040725
GR9,Greenwich - Westhorne Avenue,Roadside,PM10,PM10 Particulate,51.456357,0.040725
GR9,Greenwich - Westhorne Avenue,Roadside,PM25,PM2.5 Particulate,51.456357,0.040725
GR8,Greenwich - Woolwich Flyover,Roadside,NO2,Nitrogen Dioxide,51.486884,0.017901
GR8,Greenwich - Woolwich Flyover,Roadside,PM10,PM10 Particulate,51.486884,0.017901
GR8,Greenwich - Woolwich Flyover,Roadside,PM10,PM10 Particulate,51.486884,0.017901
GR8,Greenwich - Woolwich Flyover,Roadside,PM25,PM2.5 Particulate,51.486884,0.017901
HK6,Hackney - Old Street,Roadside,PM25,PM2.5 Particulate,51.526454,-0.08491
HG4,Haringey  - Priory Park South,Urban Background,NO2,Nitrogen Dioxide,51.5839769007709,-0.125400278484885
HG4,Haringey  - Priory Park South,Urban Background,O3,Ozone,51.5839769007709,-0.125400278484885
