@MeasurementDateGMT,@Value,pollutant_std
2023-06-01 00:00:00,74.9,O3
2023-06-01 01:00:00,80.1,O3
2023-06-01 02:00:00,79.7,O3
2023-06-01 03:00:00,81.2,O3
2023-06-01 04:00:00,83.3,O3
2023-06-01 05:00:00,79.6,O3
2023-06-01 06:00:00,77.6,O3
2023-06-01 07:00:00,73.9,O3
2023-06-01 08:00:00,73.4,O3
2023-06-01 09:00:00,72.5,O3
2023-06-01 10:00:00,77.2,O3
2023-06-01 11:00:00,80.8,O3
2023-06-01 12:00:00,87.7,O3
2023-06-01 13:00:00,94.8,O3
2023-06-01 14:00:00,99.4,O3
2023-06-01 15:00:00,102.0,O3
2023-06-01 16:00:00,101.2,O3
2023-06-01 17:00:00,97.1,O3
2023-06-01 18:00:00,78.0,O3
2023-06-01 19:00:00,64.9,O3
2023-06-01 20:00:00,68.4,O3
2023-06-01 21:00:00,74.4,O3
2023-06-01 22:00:00,81.2,O3
2023-06-01 23:00:00,81.6,O3
2023-06-02 00:00:00,81.3,O3
2023-06-02 01:00:00,82.4,O3
2023-06-02 02:00:00,81.6,O3
2023-06-02 03:00:00,85.9,O3
2023-06-02 04:00:00,84.0,O3
2023-06-02 05:00:00,85.9,O3
2023-06-02 06:00:00,84.8,O3
2023-06-02 07:00:00,83.8,O3
2023-06-02 08:00:00,81.4,O3
2023-06-02 09:00:00,82.0,O3
2023-06-02 10:00:00,86.5,O3
2023-06-02 11:00:00,90.2,O3
2023-06-02 12:00:00,95.1,O3
2023-06-02 13:00:00,97.9,O3
2023-06-02 14:00:00,98.2,O3
2023-06-02 15:00:00,93.6,O3
2023-06-02 16:00:00,88.8,O3
2023-06-02 17:00:00,86.0,O3
2023-06-02 18:00:00,80.9,O3
2023-06-02 19:00:00,75.7,O3
2023-06-02 20:00:00,74.5,O3
2023-06-02 21:00:00,73.1,O3
2023-06-02 22:00:00,66.5,O3
2023-06-02 23:00:00,61.3,O3
2023-06-03 00:00:00,58.0,O3
2023-06-03 01:00:00,59.6,O3
2023-06-03 02:00:00,62.2,O3
2023-06-03 03:00:00,55.0,O3
2023-06-03 04:00:00,59.3,O3
2023-06-03 05:00:00,60.2,O3
2023-06-03 06:00:00,60.5,O3
2023-06-03 07:00:00,61.8,O3
2023-06-03 08:00:00,63.4,O3
2023-06-03 09:00:00,63.9,O3
2023-06-03 10:00:00,65.1,O3
2023-06-03 11:00:00,76.6,O3
2023-06-03 12:00:00,97.9,O3
2023-06-03 13:00:00,104.6,O3
2023-06-03 14:00:00,106.2,O3
2023-06-03 15:00:00,106.4,O3
