@MeasurementDateGMT,@Value,pollutant_std
2023-10-01 00:00:00,48.9,NO2
2023-10-01 01:00:00,36.2,NO2
2023-10-01 02:00:00,32.1,NO2
2023-10-01 03:00:00,35.0,NO2
2023-10-01 04:00:00,52.3,NO2
2023-10-01 05:00:00,49.5,NO2
2023-10-01 06:00:00,49.5,NO2
2023-10-01 07:00:00,39.6,NO2
2023-10-01 08:00:00,59.2,NO2
2023-10-01 09:00:00,56.7,NO2
2023-10-01 10:00:00,27.0,NO2
2023-10-01 11:00:00,34.2,NO2
2023-10-01 12:00:00,55.0,NO2
2023-10-01 13:00:00,78.1,NO2
2023-10-01 14:00:00,62.3,NO2
2023-10-01 15:00:00,78.9,NO2
2023-10-01 16:00:00,53.2,NO2
2023-10-01 17:00:00,54.5,NO2
2023-10-01 18:00:00,60.2,NO2
2023-10-01 19:00:00,65.2,NO2
2023-10-01 20:00:00,54.4,NO2
2023-10-01 21:00:00,39.7,NO2
2023-10-01 22:00:00,41.5,NO2
2023-10-01 23:00:00,44.2,NO2
2023-10-02 00:00:00,24.2,NO2
2023-10-02 01:00:00,15.8,NO2
2023-10-02 02:00:00,8.4,NO2
2023-10-02 03:00:00,14.4,NO2
2023-10-02 04:00:00,32.1,NO2
2023-10-02 05:00:00,49.2,NO2
2023-10-02 06:00:00,47.2,NO2
2023-10-02 07:00:00,64.6,NO2
2023-10-02 08:00:00,42.4,NO2
2023-10-02 09:00:00,38.9,NO2
2023-10-02 10:00:00,45.1,NO2
2023-10-02 11:00:00,68.4,NO2
2023-10-02 12:00:00,71.1,NO2
2023-10-02 13:00:00,56.9,NO2
2023-10-02 14:00:00,56.6,NO2
2023-10-02 15:00:00,58.7,NO2
2023-10-02 16:00:00,55.1,NO2
2023-10-02 17:00:00,42.5,NO2
2023-10-02 18:00:00,50.7,NO2
2023-10-02 19:00:00,90.9,NO2
2023-10-02 20:00:00,48.3,NO2
2023-10-02 21:00:00,64.2,NO2
2023-10-02 22:00:00,34.8,NO2
2023-10-02 23:00:00,20.1,NO2
2023-10-03 00:00:00,27.6,NO2
2023-10-03 01:00:00,27.1,NO2
2023-10-03 02:00:00,18.6,NO2
2023-10-03 03:00:00,15.3,NO2
2023-10-03 04:00:00,23.9,NO2
2023-10-03 05:00:00,75.5,NO2
2023-10-03 06:00:00,34.5,NO2
2023-10-03 07:00:00,58.8,NO2
2023-10-03 08:00:00,51.9,NO2
2023-10-03 09:00:00,59.2,NO2
2023-10-03 10:00:00,36.4,NO2
2023-10-03 11:00:00,46.0,NO2
2023-10-03 12:00:00,39.8,NO2
2023-10-03 13:00:00,68.5,NO2
2023-10-03 14:00:00,47.3,NO2
2023-10-03 15:00:00,20.0,NO2
2023-10-03 16:00:00,68.7,NO2
2023-10-03 17:00:00,66.1,NO2
2023-10-03 18:00:00,99.2,NO2
2023-10-03 19:00:00,51.3,NO2
2023-10-03 20:00:00,32.9,NO2
2023-10-03 21:00:00,46.1,NO2
2023-10-03 22:00:00,28.6,NO2
2023-10-03 23:00:00,23.3,NO2
2023-10-04 00:00:00,17.3,NO2
2023-10-04 01:00:00,9.7,NO2
2023-10-04 02:00:00,14.3,NO2
2023-10-04 03:00:00,15.2,NO2
2023-10-04 04:00:00,29.3,NO2
2023-10-04 05:00:00,42.2,NO2
2023-10-04 06:00:00,46.0,NO2
2023-10-04 07:00:00,56.1,NO2
2023-10-04 08:00:00,55.6,NO2
2023-10-04 09:00:00,71.3,NO2
2023-10-04 10:00:00,51.0,NO2
2023-10-04 11:00:00,49.1,NO2
2023-10-04 12:00:00,47.1,NO2
2023-10-04 13:00:00,49.4,NO2
2023-10-04 14:00:00,56.2,NO2
2023-10-04 15:00:00,57.8,NO2
2023-10-04 16:00:00,53.7,NO2
2023-10-04 17:00:00,52.5,NO2
2023-10-04 18:00:00,68.0,NO2
2023-10-04 19:00:00,77.4,NO2
2023-10-04 20:00:00,49.4,NO2
2023-10-04 21:00:00,43.0,NO2
2023-10-04 22:00:00,37.5,NO2
2023-10-04 23:00:00,29.4,NO2
2023-10-05 00:00:00,17.3,NO2
2023-10-05 01:00:00,8.4,NO2
2023-10-05 02:00:00,10.7,NO2
2023-10-05 03:00:00,16.7,NO2
2023-10-05 04:00:00,31.0,NO2
2023-10-05 05:00:00,55.4,NO2
2023-10-05 06:00:00,51.9,NO2
2023-10-05 07:00:00,66.3,NO2
