@MeasurementDateGMT,@Value,pollutant_std
2023-09-01 00:00:00,19.5,NO2
2023-09-01 01:00:00,14.0,NO2
2023-09-01 02:00:00,18.4,NO2
2023-09-01 03:00:00,19.6,NO2
2023-09-01 04:00:00,30.0,NO2
2023-09-01 05:00:00,60.5,NO2
2023-09-01 06:00:00,87.2,NO2
2023-09-01 07:00:00,48.3,NO2
2023-09-01 08:00:00,37.1,NO2
2023-09-01 09:00:00,42.8,NO2
2023-09-01 10:00:00,56.3,NO2
2023-09-01 11:00:00,48.7,NO2
2023-09-01 12:00:00,82.2,NO2
2023-09-01 13:00:00,109.3,NO2
2023-09-01 14:00:00,112.3,NO2
2023-09-01 15:00:00,95.3,NO2
2023-09-01 16:00:00,87.3,NO2
2023-09-01 17:00:00,103.1,NO2
2023-09-01 18:00:00,183.7,NO2
2023-09-01 19:00:00,100.8,NO2
2023-09-01 20:00:00,83.3,NO2
2023-09-01 21:00:00,58.1,NO2
2023-09-01 22:00:00,74.4,NO2
2023-09-01 23:00:00,42.8,NO2
2023-09-02 00:00:00,27.7,NO2
2023-09-02 01:00:00,17.1,NO2
2023-09-02 02:00:00,18.3,NO2
2023-09-02 03:00:00,29.9,NO2
2023-09-02 04:00:00,29.5,NO2
2023-09-02 05:00:00,28.0,NO2
2023-09-02 06:00:00,31.8,NO2
2023-09-02 07:00:00,38.3,NO2
2023-09-02 08:00:00,69.4,NO2
2023-09-02 09:00:00,55.8,NO2
2023-09-02 10:00:00,56.5,NO2
2023-09-02 11:00:00,55.6,NO2
2023-09-02 12:00:00,57.7,NO2
2023-09-02 13:00:00,36.8,NO2
2023-09-02 14:00:00,37.5,NO2
2023-09-02 15:00:00,42.5,NO2
2023-09-02 16:00:00,48.3,NO2
2023-09-02 17:00:00,42.9,NO2
2023-09-02 18:00:00,48.5,NO2
2023-09-02 19:00:00,42.3,NO2
2023-09-02 20:00:00,85.7,NO2
2023-09-02 21:00:00,60.0,NO2
2023-09-02 22:00:00,69.0,NO2
2023-09-02 23:00:00,60.5,NO2
2023-09-03 00:00:00,37.0,NO2
2023-09-03 01:00:00,43.7,NO2
2023-09-03 02:00:00,43.8,NO2
2023-09-03 03:00:00,45.8,NO2
2023-09-03 04:00:00,45.5,NO2
2023-09-03 05:00:00,46.5,NO2
2023-09-03 06:00:00,34.3,NO2
2023-09-03 07:00:00,45.7,NO2
2023-09-03 08:00:00,34.7,NO2
2023-09-03 09:00:00,33.6,NO2
2023-09-03 10:00:00,40.3,NO2
2023-09-03 11:00:00,54.4,NO2
2023-09-03 12:00:00,51.9,NO2
2023-09-03 13:00:00,72.6,NO2
2023-09-03 14:00:00,52.6,NO2
2023-09-03 15:00:00,47.2,NO2
2023-09-03 16:00:00,39.2,NO2
2023-09-03 17:00:00,17.4,NO2
2023-09-03 18:00:00,21.3,NO2
2023-09-03 19:00:00,26.8,NO2
2023-09-03 20:00:00,29.3,NO2
2023-09-03 21:00:00,45.7,NO2
2023-09-03 22:00:00,42.4,NO2
2023-09-03 23:00:00,37.0,NO2
2023-09-04 00:00:00,28.1,NO2
2023-09-04 01:00:00,28.3,NO2
2023-09-04 02:00:00,26.0,NO2
2023-09-04 03:00:00,28.6,NO2
2023-09-04 04:00:00,40.7,NO2
2023-09-04 05:00:00,70.5,NO2
2023-09-04 06:00:00,74.4,NO2
2023-09-04 07:00:00,84.3,NO2
2023-09-04 08:00:00,80.3,NO2
2023-09-04 09:00:00,67.8,NO2
2023-09-04 10:00:00,71.2,NO2
2023-09-04 11:00:00,69.7,NO2
2023-09-04 12:00:00,87.5,NO2
2023-09-04 13:00:00,91.4,NO2
2023-09-04 14:00:00,59.8,NO2
2023-09-04 15:00:00,36.4,NO2
2023-09-04 16:00:00,71.2,NO2
2023-09-04 17:00:00,77.5,NO2
2023-09-04 18:00:00,54.9,NO2
2023-09-04 19:00:00,59.4,NO2
2023-09-04 20:00:00,47.8,NO2
2023-09-04 21:00:00,47.2,NO2
2023-09-04 22:00:00,55.3,NO2
2023-09-04 23:00:00,49.4,NO2
2023-09-05 00:00:00,54.0,NO2
2023-09-05 01:00:00,24.8,NO2
2023-09-05 02:00:00,20.9,NO2
2023-09-05 03:00:00,34.8,NO2
2023-09-05 04:00:00,56.9,NO2
2023-09-05 05:00:00,73.6,NO2
2023-09-05 06:00:00,102.4,NO2
2023-09-05 07:00:00,108.1,NO2
2023-09-05 08:00:00,85.3,NO2
2023-09-05 09:00:00,68.5,NO2
2023-09-05 10:00:00,74.8,NO2
2023-09-05 11:00:00,55.3,NO2
2023-09-05 12:00:00,46.0,NO2
2023-09-05 13:00:00,51.8,NO2
2023-09-05 14:00:00,38.8,NO2
2023-09-05 15:00:00,41.3,NO2
2023-09-05 16:00:00,61.9,NO2
2023-09-05 17:00:00,45.8,NO2
2023-09-05 18:00:00,72.3,NO2
2023-09-05 19:00:00,75.6,NO2
2023-09-05 20:00:00,95.5,NO2
2023-09-05 21:00:00,80.0,NO2
2023-09-05 22:00:00,91.4,NO2
2023-09-05 23:00:00,88.9,NO2
2023-09-06 00:00:00,74.0,NO2
2023-09-06 01:00:00,55.1,NO2
2023-09-06 02:00:00,40.1,NO2
2023-09-06 03:00:00,54.9,NO2
2023-09-06 04:00:00,79.7,NO2
2023-09-06 05:00:00,72.3,NO2
2023-09-06 06:00:00,124.4,NO2
2023-09-06 07:00:00,125.4,NO2
2023-09-06 08:00:00,92.6,NO2
2023-09-06 09:00:00,133.5,NO2
2023-09-06 10:00:00,120.6,NO2
2023-09-06 11:00:00,124.3,NO2
2023-09-06 12:00:00,171.8,NO2
2023-09-06 13:00:00,68.4,NO2
2023-09-06 14:00:00,86.0,NO2
2023-09-06 15:00:00,101.0,NO2
2023-09-06 16:00:00,120.0,NO2
2023-09-06 17:00:00,100.7,NO2
2023-09-06 18:00:00,128.8,NO2
2023-09-06 19:00:00,192.0,NO2
2023-09-06 20:00:00,80.2,NO2
2023-09-06 21:00:00,86.7,NO2
2023-09-06 22:00:00,83.7,NO2
2023-09-06 23:00:00,63.9,NO2
2023-09-07 00:00:00,48.6,NO2
2023-09-07 01:00:00,31.4,NO2
2023-09-07 02:00:00,25.4,NO2
2023-09-07 03:00:00,36.4,NO2
2023-09-07 04:00:00,61.6,NO2
2023-09-07 05:00:00,74.0,NO2
2023-09-07 06:00:00,99.8,NO2
2023-09-07 07:00:00,83.9,NO2
2023-09-07 08:00:00,88.8,NO2
2023-09-07 09:00:00,63.6,NO2
2023-09-07 10:00:00,88.1,NO2
2023-09-07 11:00:00,115.9,NO2
2023-09-07 12:00:00,86.9,NO2
2023-09-07 13:00:00,137.2,NO2
2023-09-07 14:00:00,83.4,NO2
2023-09-07 15:00:00,117.9,NO2
2023-09-07 16:00:00,128.6,NO2
2023-09-07 17:00:00,95.0,NO2
2023-09-07 18:00:00,139.7,NO2
2023-09-07 19:00:00,122.4,NO2
2023-09-07 20:00:00,110.7,NO2
2023-09-07 21:00:00,113.9,NO2
2023-09-07 22:00:00,105.0,NO2
2023-09-07 23:00:00,107.3,NO2
2023-09-08 00:00:00,79.7,NO2
2023-09-08 01:00:00,46.5,NO2
2023-09-08 02:00:00,38.4,NO2
2023-09-08 03:00:00,36.3,NO2
2023-09-08 04:00:00,70.8,NO2
2023-09-08 05:00:00,88.9,NO2
2023-09-08 06:00:00,154.8,NO2
2023-09-08 07:00:00,116.5,NO2
2023-09-08 08:00:00,131.9,NO2
2023-09-08 09:00:00,160.5,NO2
2023-09-08 10:00:00,129.2,NO2
2023-09-08 11:00:00,121.1,NO2
2023-09-08 12:00:00,168.7,NO2
2023-09-08 13:00:00,134.3,NO2
2023-09-08 14:00:00,190.9,NO2
2023-09-08 15:00:00,178.9,NO2
2023-09-08 16:00:00,172.2,NO2
2023-09-08 17:00:00,145.7,NO2
2023-09-08 18:00:00,166.1,NO2
2023-09-08 19:00:00,118.4,NO2
2023-09-08 20:00:00,125.2,NO2
2023-09-08 21:00:00,134.2,NO2
2023-09-08 22:00:00,118.0,NO2
2023-09-08 23:00:00,82.2,NO2
2023-09-09 00:00:00,84.6,NO2
2023-09-09 01:00:00,49.2,NO2
2023-09-09 02:00:00,49.0,NO2
2023-09-09 03:00:00,67.0,NO2
2023-09-09 04:00:00,84.4,NO2
2023-09-09 05:00:00,74.6,NO2
2023-09-09 06:00:00,61.6,NO2
2023-09-09 07:00:00,89.9,NO2
2023-09-09 08:00:00,135.5,NO2
2023-09-09 09:00:00,154.2,NO2
