year,pollutant_name,mean,median,std,count
2023,CO,0.24,0.2,0.19,16242
2023,NO2,24.92,20.0,18.67,436830
2023,O3,46.28,46.8,24.13,77787
2023,PM10,16.69,14.0,12.4,317643
2023,PM2.5,8.81,7.0,7.08,154094
2023,SO2,1.21,0.8,1.23,27604
2024,CO,0.16,0.1,0.17,14592
2024,NO2,22.78,19.0,15.97,444363
2024,O3,47.38,47.9,22.97,76265
2024,PM10,16.32,14.0,11.61,312108
2024,PM2.5,8.42,6.9,7.33,174697
2024,SO2,1.17,0.8,1.74,23860
2025,CO,0.2,0.2,0.18,12731
2025,NO2,22.19,17.9,16.59,385825
2025,O3,49.73,49.7,24.7,66860
2025,PM10,18.94,15.9,13.33,266395
2025,PM2.5,10.63,8.0,8.96,153768
2025,SO2,2.18,1.4,5.55,19753
