date,temperature_2m,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_pressure,precipitation,cloud_cover,relative_humidity_2m
2023-02-01 00:00:00+00:00,3.7565,16.279802,33.46645,251.96562,258.2066,23.4,1022.29584,0.0,3.0,84.63182
2023-02-01 01:00:00+00:00,3.9065,17.076298,34.245445,251.56496,257.8632,27.359999,1021.99835,0.0,100.0,84.649055
2023-02-01 02:00:00+00:00,4.1064997,17.418196,34.245445,251.93944,257.8632,28.08,1021.8008,0.0,80.0,81.40048
2023-02-01 03:00:00+00:00,4.0065,18.214718,35.538033,251.56496,256.52682,29.16,1021.50073,0.0,69.0,80.51371
2023-02-01 04:00:00+00:00,4.1064997,18.448023,35.65454,252.97939,258.34973,30.239998,1021.40204,0.0,77.0,80.23891
2023-02-01 05:00:00+00:00,4.2565,18.25026,34.80848,255.14134,259.27118,29.88,1021.10443,0.0,76.0,81.129425
2023-02-01 06:00:00+00:00,4.2565,18.0,34.877293,253.73972,258.6901,29.519999,1021.5033,0.0,49.0,82.596214
2023-02-01 07:00:00+00:00,4.0065,18.0,34.877293,253.73972,258.6901,29.519999,1021.60046,0.0,12.0,84.96384
2023-02-01 08:00:00+00:00,4.2064996,20.176065,37.351624,254.47583,259.44824,32.399998,1022.0015,0.0,15.0,84.68345
2023-02-01 09:00:00+00:00,5.4564996,22.450264,37.419224,254.18074,258.9063,35.64,1022.0144,0.0,86.0,80.43177
2023-02-01 10:00:00+00:00,7.2064996,25.721743,36.832767,263.57135,265.51547,45.719997,1021.93256,0.0,86.0,73.87366
2023-02-01 11:00:00+00:00,8.4065,24.448214,34.80848,256.373,259.27118,41.039997,1022.1441,0.0,38.0,70.77759
2023-02-01 12:00:00+00:00,8.9065,25.582806,36.509396,256.15927,257.4712,42.48,1021.8501,0.0,72.0,69.64063
2023-02-01 13:00:00+00:00,9.8065,31.06239,44.039345,274.65326,274.21902,48.239998,1021.5599,0.0,100.0,63.50376
2023-02-01 14:00:00+00:00,9.8065,24.842607,36.735878,270.8303,271.68463,50.039997,1021.4602,0.0,100.0,65.55112
2023-02-01 15:00:00+00:00,9.4065,22.608458,35.543507,260.83774,263.01904,39.6,1021.3566,0.0,100.0,69.254105
2023-02-01 16:00:00+00:00,8.9565,22.253124,36.65995,260.69012,262.6657,36.719997,1021.6513,0.0,100.0,72.13941
2023-02-01 17:00:00+00:00,8.0565,21.542923,38.046055,260.38034,263.4803,36.0,1021.94116,0.0,100.0,75.60348
2023-02-01 18:00:00+00:00,7.6565,21.349546,38.202427,264.19336,267.2994,34.92,1022.2365,0.0,100.0,77.417404
2023-02-01 19:00:00+00:00,7.2064996,20.364674,36.832767,261.87,265.51547,34.56,1022.43115,0.0,100.0,81.24532
2023-02-01 20:00:00+00:00,6.8065,20.721119,37.16553,262.01077,266.11215,33.48,1022.5271,0.0,100.0,84.3844
2023-02-01 21:00:00+00:00,6.5065,19.852295,36.367126,265.84042,268.8656,33.48,1022.9227,0.0,96.0,84.94338
2023-02-01 22:00:00+00:00,6.3065,19.852295,36.719997,265.84042,270.0,32.039997,1023.21985,0.0,61.0,85.81961
2023-02-01 23:00:00+00:00,6.0565,19.164719,36.36,264.61078,270.0,32.399998,1023.1176,0.0,87.0,87.92631
2023-02-02 00:00:00+00:00,5.8065,17.935081,34.746994,259.59235,264.05322,30.960001,1023.3142,0.0,36.0,89.45854
2023-02-02 01:00:00+00:00,5.9564996,17.163355,33.24498,260.34018,265.03033,29.519999,1023.4156,0.0,14.0,89.47059
2023-02-02 02:00:00+00:00,5.6565,15.111424,31.129074,257.61926,264.02576,27.359999,1023.31287,0.0,88.0,90.392166
2023-02-02 03:00:00+00:00,5.4564996,14.759999,30.37683,257.3196,264.55975,24.48,1023.31067,0.0,98.0,90.69508
2023-02-02 04:00:00+00:00,5.1565,13.910169,29.574827,259.56256,266.51074,23.759998,1023.40717,0.0,71.0,91.63461
2023-02-02 05:00:00+00:00,4.7565,12.864649,27.952787,252.07199,262.6005,22.68,1023.40344,0.0,99.0,93.23527
