target,pollutant,test_r2,test_rmse,test_mae,epochs,site
Borehamwood_Meadow_Park_NO2,NO2,0.8068112762496198,0.04282354278279429,0.027767058382615152,50,Borehamwood_Meadow_Park
Borehamwood_Meadow_Park_PM10,PM10,0.7920029772086202,0.02005853394881156,0.015124015407318583,31,Borehamwood_Meadow_Park
Borehamwood_Meadow_Park_PM25,PM25,0.830072135406241,0.015021647273833698,0.010926439066613714,33,Borehamwood_Meadow_Park
Camden_Kerbside_NO2,NO2,0.6652468432362273,0.05713103498742507,0.04339172743479711,38,Camden_Kerbside
Haringey_Roadside_NO2,NO2,0.7719605222130779,0.03321954244530202,0.02472783446185101,28,Haringey_Roadside
London_Bexley_NO2,NO2,0.7641663608319242,0.038694837020633845,0.025773909677979375,28,London_Bexley
London_Bexley_PM10,PM10,0.7345561657855677,0.02224535791421322,0.014212223326676123,33,London_Bexley
London_Bloomsbury_NO2,NO2,0.7910397338208378,0.042421965145898397,0.03055538121254471,24,London_Bloomsbury
London_Bloomsbury_O3,O3,0.851442115054225,0.04277938943643233,0.029960923227907377,46,London_Bloomsbury
London_Bloomsbury_PM10,PM10,0.6638360137251083,0.018057314057401016,0.01063592473739848,37,London_Bloomsbury
London_Bloomsbury_PM25,PM25,0.8142054996460417,0.020843208532960983,0.014504717651018385,33,London_Bloomsbury
London_Bloomsbury_SO2,SO2,-0.3326536248963261,0.0174381339188236,0.01445511341038725,11,London_Bloomsbury
London_Haringey_Priory_Park_South_NO2,NO2,0.8215278010163918,0.032933985270212074,0.02277484745895701,28,London_Haringey_Priory_Park_South
London_Haringey_Priory_Park_South_O3,O3,0.8629201263022257,0.03945952077915763,0.028866995705935577,48,London_Haringey_Priory_Park_South
London_Harlington_NO2,NO2,0.7641498253267969,0.037765560312661366,0.02712999890968522,44,London_Harlington
London_Harlington_O3,O3,0.8657724169951693,0.04640822991098943,0.03527630642635021,27,London_Harlington
London_Harlington_PM10,PM10,-0.14971210972965676,0.007110392916133294,0.005623589126993273,14,London_Harlington
London_Harlington_PM25,PM25,0.6941706274857463,0.015284889172793317,0.011455175375738142,27,London_Harlington
London_Hillingdon_NO2,NO2,0.7966440602682764,0.0415446544368573,0.030423408154990266,50,London_Hillingdon
London_Hillingdon_O3,O3,0.8350732602419952,0.0523306202010006,0.040713577377824446,21,London_Hillingdon
London_Hillingdon_PM10,PM10,0.4268362482650241,0.03852591827905983,0.016504993870476388,29,London_Hillingdon
London_Hillingdon_PM25,PM25,0.504213264227666,0.043055651273412016,0.015993792719581252,41,London_Hillingdon
London_Honor_Oak_Park_O3,O3,0.6413026577599925,0.10976548166898334,0.08265465275090098,22,London_Honor_Oak_Park
London_Honor_Oak_Park_PM10,PM10,0.7947802583538379,0.017433063684216037,0.012316198418186637,50,London_Honor_Oak_Park
London_Honor_Oak_Park_PM25,PM25,0.864093009827021,0.014331153897745641,0.009760114053578402,48,London_Honor_Oak_Park
London_Marylebone_Road_CO,CO,0.8338629935490843,0.026862972795673387,0.0197458440731756,45,London_Marylebone_Road
London_Marylebone_Road_NO2,NO2,0.7572769477509143,0.04068459594190568,0.02795482637539062,44,London_Marylebone_Road
London_Marylebone_Road_O3,O3,0.8163626649558382,0.048697284560596944,0.035801115512773006,50,London_Marylebone_Road
London_Marylebone_Road_SO2,SO2,-0.09765240815886767,0.007164281108165413,0.005307664687775675,13,London_Marylebone_Road
London_N._Kensington_CO,CO,0.7528140380432304,0.017446512264755677,0.013181191290604138,28,London_N._Kensington
London_N._Kensington_NO2,NO2,0.8073478238035676,0.037127074297530836,0.026173858863844327,32,London_N._Kensington
London_N._Kensington_O3,O3,0.9074931990550497,0.03864695651352604,0.027819685591202944,32,London_N._Kensington
London_N._Kensington_SO2,SO2,-0.6939419058015694,0.023183564167433834,0.02052669469997987,20,London_N._Kensington
London_Teddington_Bushy_Park_PM10,PM10,0.3585258923558363,0.018767494106650556,0.014696839885885231,45,London_Teddington_Bushy_Park
London_Teddington_Bushy_Park_PM25,PM25,0.2177055073647135,0.024931250625561733,0.019368613516978512,38,London_Teddington_Bushy_Park
London_Westminster_NO2,NO2,0.7367065551739947,0.01572747042296766,0.012631578169617989,44,London_Westminster
London_Westminster_O3,O3,0.9056008746026244,0.031821013194937235,0.023979761343712585,40,London_Westminster
London_Westminster_PM25,PM25,-0.5418016647174893,0.016856350781872014,0.011089900078936336,44,London_Westminster
Southwark_A2_Old_Kent_Road_NO2,NO2,0.7871630659894727,0.043230199460010936,0.030577830038633243,32,Southwark_A2_Old_Kent_Road
Tower_Hamlets_Roadside_NO2,NO2,-8.279771601393835e+29,0.025255700394019122,0.018306680936358344,39,Tower_Hamlets_Roadside
