target,category,pollutant,test_r2,test_rmse,test_mae,epochs
Borehamwood_Meadow_Park_NO,Nitrogen,NO,0.43762316956274994,0.01101825190527348,0.005265869700831231,37
Borehamwood_Meadow_Park_NO2,NO2,NO2,0.8083460283635917,0.042653101737599265,0.027572885151134853,48
Borehamwood_Meadow_Park_NOx,Nitrogen,NOx,0.5501483863749282,0.02060400353174604,0.014179637407033215,31
Borehamwood_Meadow_Park_PM10,PM10,PM10,0.7650820954989935,0.02131712773898874,0.016103904538757867,32
Borehamwood_Meadow_Park_PM25,PM25,PM25,0.7355943455545475,0.018737887593508664,0.013520897053237575,27
Camden_Kerbside_NO,Nitrogen,NO,0.6070097690489799,0.014497212724168462,0.009968343758381648,41
Camden_Kerbside_NO2,NO2,NO2,0.6240043040786327,0.06054819319756746,0.04682004295319723,34
Camden_Kerbside_NOx,Nitrogen,NOx,0.6337687008034525,0.019622673904450435,0.014766975100657026,37
Haringey_Roadside_NO,Nitrogen,NO,0.4864464289716789,0.011039262771222228,0.007130423884921407,23
Haringey_Roadside_NO2,NO2,NO2,0.7544112417558341,0.03447409460065283,0.025392533879367896,28
Haringey_Roadside_NOx,Nitrogen,NOx,0.4861126488728347,0.01911050330710232,0.012365675319376056,25
London_Bexley_NO,Nitrogen,NO,0.21723066751958953,0.023478006541134938,0.007829863102913927,47
London_Bexley_NO2,NO2,NO2,0.7386517904862447,0.04073426740095432,0.03080612660355723,32
London_Bexley_NOx,Nitrogen,NOx,0.5569843112496886,0.023149382833538467,0.010449491536665167,41
London_Bexley_PM10,PM10,PM10,0.7281213896479929,0.022513374590141626,0.013430235255216437,30
London_Bloomsbury_NO,Nitrogen,NO,0.5326407863968055,0.007480365431505282,0.004314744278382504,37
London_Bloomsbury_NO2,NO2,NO2,0.773479404893139,0.044168512495740546,0.033161149191803664,26
London_Bloomsbury_NOx,Nitrogen,NOx,0.6772709736114813,0.0136825299229573,0.010122725394718802,41
London_Bloomsbury_O3,O3,O3,0.8541513111649778,0.04238751853190624,0.031202085732644352,28
London_Bloomsbury_PM10,PM10,PM10,0.6531621141220106,0.018341752300497838,0.01171721379931064,39
