feature,importance,category
EN5_NO2_t-1,0.8348283443645266,NO2
GN4_NO2_t-1,0.004296307624321011,NO2
BT6_NO2_t-1,0.0028579857869531766,NO2
GR9_NO2_t-1,0.0028124420845796272,NO2
SK5_NO2_t-1,0.0025252360192744606,NO2
EN5_NO2_t-2,0.0018650328814603869,NO2
GN0_NO2_t-1,0.0017911447413264151,NO2
ME9_NO2_t-1,0.0016815505277462824,NO2
BT8_NO2_t-1,0.0016155699797819854,NO2
HV1_NO2_t-1,0.0015024278592335955,NO2
RI1_NO2_t-1,0.0014379291423764317,NO2
EI1_NO2_t-1,0.0013968070420923994,NO2
EN5_NO2_t-3,0.0013328793291641624,NO2
EA8_NO2_t-1,0.0012471036656208042,NO2
LB4_NO2_t-3,0.0011917645564829661,NO2
BT5_NO2_t-1,0.00117513174966928,NO2
EA6_NO2_t-1,0.0011594621481170078,NO2
EN1_NO2_t-1,0.0011551987296946724,NO2
WM6_NO2_t-1,0.0011162172441234203,NO2
hour_t-7,0.0010924554491802477,temporal_hour
GR7_NO2_t-1,0.0010726870867916005,NO2
BX1_O3_t-2,0.0010683394711175607,O3
GN0_NO2_t-2,0.0010292294028638918,NO2
EN4_NO2_t-1,0.0009440902427864362,NO2
LB4_NO2_t-1,0.0009337032708794477,NO2
hour_t-4,0.0009080256309822134,temporal_hour
HP1_NO2_t-1,0.0008919702046927084,NO2
BT5_NO2_t-2,0.0008745090341164495,NO2
GN6_NO2_t-1,0.0008464260587842638,NO2
BX1_O3_t-1,0.0008306167463515656,O3
hour_t-2,0.0008083477924242266,temporal_hour
WMD_NO2_t-8,0.0007557723293607674,NO2
WMD_NO2_t-1,0.0007430417385718937,NO2
hour_t-8,0.0007204051570744639,temporal_hour
IS6_NO2_t-3,0.0007074388847492932,NO2
EN1_NO2_t-2,0.0007010386062491264,NO2
BT5_NO2_t-3,0.000685222108905427,NO2
hour_t-3,0.0006852134632407938,temporal_hour
LB4_NO2_t-2,0.0006569560774175412,NO2
WMD_NO2_t-2,0.0006537606905136545,NO2
HP1_NO2_t-3,0.0006528013731557112,NO2
HP1_O3_t-1,0.0006514210549093638,O3
LB4_NO2_t-4,0.0006296893478933468,NO2
GN4_PM10_t-1,0.0006240260009388365,PM10
EA6_NO2_t-2,0.0006041872892205676,NO2
KC1_NO2_t-1,0.0006035745664466657,NO2
EN5_NO2_t-4,0.0005874490950654702,NO2
LB4_NO2_t-9,0.0005757057272578512,NO2
GN6_NO2_t-2,0.0005720056454465499,NO2
hour_t-12,0.000570154094016402,temporal_hour
BT4_PM10_t-1,0.0005677977979480662,PM10
HV1_NO2_t-2,0.0005552325205920425,NO2
HP1_NO2_t-2,0.0005499317836167331,NO2
EA6_NO2_t-4,0.0005488646608604653,NO2
KC1_NO2_t-3,0.0005421876890372062,NO2
GN0_NO2_t-3,0.0005291931862950542,NO2
EN4_NO2_t-2,0.0005242085504135605,NO2
RI1_NO2_t-3,0.0005188010493418383,NO2
GN6_NO2_t-3,0.0005176027766239808,NO2
LB4_NO2_t-8,0.0005154947147377776,NO2
hour_t-5,0.0005074333423676393,temporal_hour
IS6_NO2_t-1,0.0005050991519357664,NO2
GN4_PM10_t-2,0.0004899862025291826,PM10
HV1_NO2_t-10,0.00048763643355467974,NO2
WMD_NO2_t-7,0.00048603805195053437,NO2
BT6_NO2_t-2,0.0004841721962175741,NO2
BX1_O3_t-3,0.00048240997977920156,O3
RI1_NO2_t-4,0.00048051504523321354,NO2
WMD_NO2_t-3,0.00047965150775334316,NO2
EN4_NO2_t-3,0.00047747764787355333,NO2
