target,pollutant,test_r2,test_rmse,test_mae,epochs
BG1_NO2,NO2,0.4521723503700661,0.02750619127217411,0.020607352078619405,33
BG1_SO2,SO2,0.7863286943487278,0.018303887817035253,0.012134748466099386,29
BG2_NO2,NO2,-1.933365622256685e+30,0.038592884035029106,0.026936818685744726,33
BG2_PM10,PM10,0.031683044930218895,0.02780887508095496,0.016240110642979828,14
BQ7_NO2,NO2,0.6849132530219844,0.04722526367494257,0.03667881255067174,23
BQ7_O3,O3,0.9111745897186256,0.03375373849270989,0.025010055100266524,34
BQ7_PM10,PM10,0.768903902979142,0.034865754064326925,0.02184874487657187,29
BQ7_PM25,PM25,0.7860489949946308,0.02801856003931577,0.015242170659099712,30
BQ9_PM10,PM10,0.7642961178470667,0.02050866798996932,0.013109908350813998,41
BQ9_PM25,PM25,0.760379696315808,0.017629088867795573,0.010144133129947821,35
BT4_NO2,NO2,0.7958196837946837,0.030198422622350923,0.023175568591323498,29
BT4_PM10,PM10,0.5220678282851245,0.012020843849518863,0.0080377577305576,34
BT4_PM25,PM25,0.493558347853853,0.046179725227341074,0.024819512354092094,28
BT5_NO2,NO2,0.7262390665453977,0.03863810295554949,0.02710528325615512,30
BT5_PM10,PM10,0.5159360503166667,0.035591319887802876,0.020627799439641915,19
BT5_PM25,PM25,0.1515003420919543,0.028040742900909466,0.021263656949646822,39
BT6_NO2,NO2,0.7817478145758405,0.038805623589812974,0.029167229847126212,46
BT6_PM10,PM10,0.4638932664604076,0.01778873710333735,0.0120439822883364,20
BT6_PM25,PM25,0.48392193387675575,0.02384738353423061,0.015606977083478153,32
BT8_NO2,NO2,0.7324028428716111,0.03117818346013088,0.022635444032191553,26
