SiteCode,SiteName,SpeciesCode,SpeciesDescription,ObjectiveType,Value,Unit,Guideline,Period,SiteSpeciesCount,SpeciesFrequency
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,0,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,74,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,89,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,97,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,97,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,98,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,93,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,97,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,97,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,97,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,98,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,CO,Carbon Monoxide,N/A,73,N/A,N/A,N/A,4,966
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,26,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,31,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,34,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,32,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,11,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,20,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,30,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,18,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,98,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,98,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,98,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,DUST,PM10 (not reference equiv.),N/A,73,N/A,N/A,N/A,4,3912
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,5,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,6,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,6,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,16,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,8,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,23,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,13,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,66,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,57,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,59,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,55,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,54,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,58,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,73,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,66,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,61,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,60,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,61,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,63,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,93,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,98,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,97,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,97,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,88,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,80,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,97,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,98,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,98,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,NO2,Nitrogen Dioxide,N/A,72,N/A,N/A,N/A,4,8076
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,38,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,31,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,29,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,26,N/A,N/A,N/A,4,6768
