@MeasurementDateGMT,@LocalAuthorityName,@SiteCode,@SiteName,@SiteType,@SpeciesCode,@Value,@DateClosed,@DateOpened,@Latitude,@Longitude,ValuePresent
2023-01-01T00:00:00Z,Barking and Dagenham,BG2,,,NO2,4.6,,,,,True
2023-01-01T01:00:00Z,Barking and Dagenham,BG2,,,NO2,4.4,,,,,True
2023-01-01T02:00:00Z,Barking and Dagenham,BG2,,,NO2,4.1,,,,,True
2023-01-01T03:00:00Z,Barking and Dagenham,BG2,,,NO2,3.7,,,,,True
2023-01-01T04:00:00Z,Barking and Dagenham,BG2,,,NO2,2.9,,,,,True
2023-01-01T05:00:00Z,Barking and Dagenham,BG2,,,NO2,3.3,,,,,True
2023-01-01T06:00:00Z,Barking and Dagenham,BG2,,,NO2,3.6,,,,,True
2023-01-01T07:00:00Z,Barking and Dagenham,BG2,,,NO2,3.5,,,,,True
2023-01-01T08:00:00Z,Barking and Dagenham,BG2,,,NO2,3.2,,,,,True
2023-01-01T09:00:00Z,Barking and Dagenham,BG2,,,NO2,4.6,,,,,True
2023-01-01T10:00:00Z,Barking and Dagenham,BG2,,,NO2,4.9,,,,,True
2023-01-01T11:00:00Z,Barking and Dagenham,BG2,,,NO2,4.7,,,,,True
2023-01-01T12:00:00Z,Barking and Dagenham,BG2,,,NO2,5.9,,,,,True
2023-01-01T13:00:00Z,Barking and Dagenham,BG2,,,NO2,5.9,,,,,True
2023-01-01T14:00:00Z,Barking and Dagenham,BG2,,,NO2,7.3,,,,,True
2023-01-01T15:00:00Z,Barking and Dagenham,BG2,,,NO2,9.3,,,,,True
2023-01-01T16:00:00Z,Barking and Dagenham,BG2,,,NO2,7.1,,,,,True
2023-01-01T17:00:00Z,Barking and Dagenham,BG2,,,NO2,9.1,,,,,True
2023-01-01T18:00:00Z,Barking and Dagenham,BG2,,,NO2,18.2,,,,,True
2023-01-01T19:00:00Z,Barking and Dagenham,BG2,,,NO2,20.3,,,,,True
2023-01-01T20:00:00Z,Barking and Dagenham,BG2,,,NO2,26.0,,,,,True
2023-01-01T21:00:00Z,Barking and Dagenham,BG2,,,NO2,21.5,,,,,True
2023-01-01T22:00:00Z,Barking and Dagenham,BG2,,,NO2,20.8,,,,,True
2023-01-01T23:00:00Z,Barking and Dagenham,BG2,,,NO2,21.8,,,,,True
2023-01-02T00:00:00Z,Barking and Dagenham,BG2,,,NO2,20.6,,,,,True
2023-01-02T01:00:00Z,Barking and Dagenham,BG2,,,NO2,12.8,,,,,True
2023-01-02T02:00:00Z,Barking and Dagenham,BG2,,,NO2,9.2,,,,,True
2023-01-02T03:00:00Z,Barking and Dagenham,BG2,,,NO2,6.9,,,,,True
2023-01-02T04:00:00Z,Barking and Dagenham,BG2,,,NO2,7.5,,,,,True
2023-01-02T05:00:00Z,Barking and Dagenham,BG2,,,NO2,4.8,,,,,True
2023-01-02T06:00:00Z,Barking and Dagenham,BG2,,,NO2,6.4,,,,,True
2023-01-02T07:00:00Z,Barking and Dagenham,BG2,,,NO2,12.3,,,,,True
2023-01-02T08:00:00Z,Barking and Dagenham,BG2,,,NO2,20.3,,,,,True
2023-01-02T09:00:00Z,Barking and Dagenham,BG2,,,NO2,23.7,,,,,True
2023-01-02T10:00:00Z,Barking and Dagenham,BG2,,,NO2,19.4,,,,,True
