site,pollutant,start_date,end_date
BG3,PM10,2023-06-01,2023-06-30
BG3,PM10,2023-07-01,2023-07-31
BG3,PM10,2023-08-01,2023-08-31
BG3,PM10,2023-09-01,2023-09-30
BG3,PM10,2023-10-01,2023-10-31
BG3,PM10,2023-11-01,2023-11-30
BG3,PM10,2023-12-01,2023-12-31
BG3,PM25,2023-01-01,2023-01-31
BG3,PM25,2023-02-01,2023-02-28
BG3,PM25,2023-03-01,2023-03-31
BG3,PM25,2023-04-01,2023-04-30
BG3,PM25,2023-05-01,2023-05-31
BG3,PM25,2023-06-01,2023-06-30
BG3,PM25,2023-07-01,2023-07-31
BG3,PM25,2023-08-01,2023-08-31
BG3,PM25,2023-09-01,2023-09-30
BG3,PM25,2023-10-01,2023-10-31
BG3,PM25,2023-11-01,2023-11-30
BG3,PM25,2023-12-01,2023-12-31
BG3,SO2,2023-01-01,2023-01-31
BG3,SO2,2023-02-01,2023-02-28
BG3,SO2,2023-03-01,2023-03-31
BG3,SO2,2023-04-01,2023-04-30
BG3,SO2,2023-05-01,2023-05-31
BG3,SO2,2023-06-01,2023-06-30
BG3,SO2,2023-07-01,2023-07-31
BG3,SO2,2023-08-01,2023-08-31
BG3,SO2,2023-09-01,2023-09-30
BG3,SO2,2023-10-01,2023-10-31
BG3,SO2,2023-11-01,2023-11-30
BG3,SO2,2023-12-01,2023-12-31
BG1,CO,2023-01-01,2023-01-31
BG1,CO,2023-02-01,2023-02-28
BG1,CO,2023-03-01,2023-03-31
BG1,CO,2023-04-01,2023-04-30
BG1,CO,2023-05-01,2023-05-31
BG1,CO,2023-06-01,2023-06-30
BG1,CO,2023-07-01,2023-07-31
BG1,CO,2023-08-01,2023-08-31
BG1,CO,2023-09-01,2023-09-30
BG1,CO,2023-10-01,2023-10-31
BG1,CO,2023-11-01,2023-11-30
BG1,CO,2023-12-01,2023-12-31
BG1,NO2,2023-01-01,2023-01-31
BG1,NO2,2023-02-01,2023-02-28
BG1,NO2,2023-03-01,2023-03-31
BG1,NO2,2023-04-01,2023-04-30
BG1,NO2,2023-05-01,2023-05-31
BG1,NO2,2023-06-01,2023-06-30
BG1,NO2,2023-07-01,2023-07-31
BG1,NO2,2023-08-01,2023-08-31
BG1,NO2,2023-09-01,2023-09-30
BG1,NO2,2023-10-01,2023-10-31
BG1,NO2,2023-11-01,2023-11-30
BG1,NO2,2023-12-01,2023-12-31
BG1,O3,2023-01-01,2023-01-31
BG1,O3,2023-02-01,2023-02-28
BG1,O3,2023-03-01,2023-03-31
BG1,O3,2023-04-01,2023-04-30
BG1,O3,2023-05-01,2023-05-31
BG1,O3,2023-06-01,2023-06-30
BG1,O3,2023-07-01,2023-07-31
BG1,O3,2023-08-01,2023-08-31
BG1,O3,2023-09-01,2023-09-30
BG1,O3,2023-10-01,2023-10-31
BG1,O3,2023-11-01,2023-11-30
BG1,O3,2023-12-01,2023-12-31
BG1,PM10,2023-01-01,2023-01-31
BG1,PM10,2023-02-01,2023-02-28
BG1,PM10,2023-03-01,2023-03-31
BG1,PM10,2023-04-01,2023-04-30
BG1,PM10,2023-05-01,2023-05-31
BG1,PM10,2023-06-01,2023-06-30
BG1,PM10,2023-07-01,2023-07-31
BG1,PM10,2023-08-01,2023-08-31
BG1,PM10,2023-09-01,2023-09-30
BG1,PM10,2023-10-01,2023-10-31
BG1,PM10,2023-11-01,2023-11-30
BG1,PM10,2023-12-01,2023-12-31
BG1,PM25,2023-01-01,2023-01-31
BG1,PM25,2023-02-01,2023-02-28
BG1,PM25,2023-03-01,2023-03-31
BG1,PM25,2023-04-01,2023-04-30
BG1,PM25,2023-05-01,2023-05-31
BG1,PM25,2023-06-01,2023-06-30
BG1,PM25,2023-07-01,2023-07-31
BG1,PM25,2023-08-01,2023-08-31
BG1,PM25,2023-09-01,2023-09-30
