time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,pressure_msl
2023-01-01T00:00,11.3,94,0.1,22.9,224,1002.8
2023-01-01T01:00,11.9,85,0.4,31.1,226,1003.6
2023-01-01T02:00,11.0,80,0.0,31.4,228,1004.6
2023-01-01T03:00,10.4,78,0.0,30.7,231,1005.6
2023-01-01T04:00,10.3,77,0.0,27.7,224,1006.2
2023-01-01T05:00,10.1,79,0.0,27.8,222,1006.9
2023-01-01T06:00,9.8,80,0.0,27.0,222,1007.5
2023-01-01T07:00,9.8,77,0.0,25.9,219,1008.4
2023-01-01T08:00,9.8,77,0.0,25.9,219,1009.0
2023-01-01T09:00,10.2,73,0.0,25.9,218,1009.8
2023-01-01T10:00,10.8,73,0.0,27.2,215,1010.0
2023-01-01T11:00,11.4,74,0.0,28.2,215,1010.1
2023-01-01T12:00,11.4,79,0.0,22.2,209,1009.9
2023-01-01T13:00,11.5,80,0.1,25.0,208,1010.0
2023-01-01T14:00,11.0,82,0.1,23.4,203,1009.6
2023-01-01T15:00,10.6,85,0.0,18.7,199,1009.3
2023-01-01T16:00,10.3,86,0.1,18.2,198,1009.2
2023-01-01T17:00,10.1,87,0.3,14.5,203,1009.1
2023-01-01T18:00,9.8,91,0.8,11.1,205,1008.8
2023-01-01T19:00,9.5,90,0.7,7.9,223,1009.0
2023-01-01T20:00,9.1,90,0.2,4.9,216,1008.5
2023-01-01T21:00,8.9,91,0.2,5.3,208,1008.4
2023-01-01T22:00,8.7,92,0.6,5.4,233,1008.5
2023-01-01T23:00,8.5,93,0.4,6.6,221,1008.8
2023-01-02T00:00,7.9,92,0.1,5.1,225,1009.2
2023-01-02T01:00,7.5,92,0.1,7.6,225,1009.4
2023-01-02T02:00,6.7,92,0.0,9.3,216,1010.0
2023-01-02T03:00,6.8,91,0.0,12.5,213,1010.5
2023-01-02T04:00,7.5,91,0.0,15.5,222,1010.6
2023-01-02T05:00,7.3,91,0.0,12.8,232,1011.2
2023-01-02T06:00,7.2,93,0.0,12.5,226,1011.7
2023-01-02T07:00,6.8,94,0.0,11.5,238,1012.6
2023-01-02T08:00,6.1,95,0.0,9.3,254,1013.5
2023-01-02T09:00,6.6,95,0.0,10.1,266,1014.8
2023-01-02T10:00,7.4,90,0.0,11.5,272,1016.0
2023-01-02T11:00,7.8,87,0.0,12.2,284,1016.9
2023-01-02T12:00,8.2,83,0.0,9.8,287,1017.6
2023-01-02T13:00,8.3,79,0.0,11.4,281,1018.4
2023-01-02T14:00,8.0,77,0.0,11.6,277,1019.1
2023-01-02T15:00,7.3,83,0.0,8.0,260,1019.9
2023-01-02T16:00,4.1,93,0.0,9.5,245,1020.8
2023-01-02T17:00,3.1,93,0.0,9.2,228,1021.6
2023-01-02T18:00,2.3,94,0.0,9.9,224,1022.1
2023-01-02T19:00,1.6,94,0.0,10.1,215,1022.5
2023-01-02T20:00,1.2,94,0.0,10.1,197,1023.0
2023-01-02T21:00,1.4,93,0.0,9.8,186,1023.2
2023-01-02T22:00,1.0,94,0.0,10.7,168,1023.3
2023-01-02T23:00,1.3,93,0.0,10.1,163,1023.3
2023-01-03T00:00,2.2,93,0.0,8.4,137,1023.2
2023-01-03T01:00,3.2,92,0.0,8.7,138,1022.6
2023-01-03T02:00,3.3,94,0.0,8.7,150,1022.4
2023-01-03T03:00,3.9,96,0.0,8.5,168,1022.1
2023-01-03T04:00,4.4,97,0.0,8.4,190,1021.7
2023-01-03T05:00,4.9,97,0.0,10.0,193,1021.5
2023-01-03T06:00,5.6,95,0.0,12.3,201,1021.2
2023-01-03T07:00,6.1,93,0.0,14.9,195,1020.9
2023-01-03T08:00,7.7,90,0.0,20.3,200,1020.8
2023-01-03T09:00,8.9,87,0.1,24.1,197,1020.6
2023-01-03T10:00,9.3,87,0.1,28.2,199,1020.3
2023-01-03T11:00,9.4,87,0.6,30.6,200,1019.9
2023-01-03T12:00,9.7,89,0.1,30.1,195,1019.3
2023-01-03T13:00,10.2,88,0.1,32.2,200,1018.4
2023-01-03T14:00,10.5,87,0.1,32.3,202,1017.8
2023-01-03T15:00,10.4,88,0.1,30.2,202,1017.1
2023-01-03T16:00,10.6,88,0.1,31.8,202,1016.6
2023-01-03T17:00,10.6,89,0.1,34.8,201,1015.9
2023-01-03T18:00,10.6,89,0.3,36.8,202,1014.9
2023-01-03T19:00,10.8,90,0.3,37.4,204,1014.3
2023-01-03T20:00,11.3,89,0.4,34.7,209,1013.8
2023-01-03T21:00,11.6,91,0.3,30.9,214,1013.3
2023-01-03T22:00,12.3,91,0.5,32.1,224,1013.4
2023-01-03T23:00,12.4,88,0.0,32.6,229,1013.6
2023-01-04T00:00,11.9,91,0.0,33.1,224,1013.6
2023-01-04T01:00,12.0,90,0.0,33.6,224,1013.4
2023-01-04T02:00,12.1,88,0.0,35.9,225,1013.2
2023-01-04T03:00,12.0,89,0.2,34.9,222,1013.2
2023-01-04T04:00,12.2,90,0.4,34.9,223,1012.4
2023-01-04T05:00,12.3,91,0.0,34.6,226,1012.1
2023-01-04T06:00,12.6,90,0.0,32.4,229,1012.1
2023-01-04T07:00,12.7,90,0.0,30.8,233,1012.7
2023-01-04T08:00,12.4,90,0.1,29.0,238,1013.3
2023-01-04T09:00,12.6,84,0.1,31.7,242,1013.9
2023-01-04T10:00,12.4,85,0.0,30.8,241,1014.3
2023-01-04T11:00,12.7,83,0.0,31.6,241,1014.4
2023-01-04T12:00,12.9,83,0.0,29.8,240,1013.8
2023-01-04T13:00,13.1,81,0.1,34.0,246,1013.8
2023-01-04T14:00,13.0,76,0.0,33.3,248,1014.0
2023-01-04T15:00,12.5,77,0.0,30.0,247,1014.1
2023-01-04T16:00,11.9,80,0.0,29.8,247,1014.6
2023-01-04T17:00,11.5,79,0.0,29.3,251,1015.3
